"","country","codigo"
"1","belgium","BELLOCOBDNOSTSAM"
"2","belgium","BCEMFT02BEM460S"
"3","belgium","BSEMFT02BEM460S"
"4","belgium","BVEMTE02BEM460S"
"5","belgium","CP0410BEM086NEST"
"6","belgium","CP0500BEM086NEST"
"7","belgium","CP0400BEM086NEST"
"8","belgium","CP1252BEM086NEST"
"9","belgium","CP0430BEM086NEST"
"10","belgium","X00XHOUBEM086NEST"
"11","belgium","CP0432BEM086NEST"
"12","belgium","SERVHOBEM086NEST"
"13","belgium","BSSPFT02BEM460S"
"14","belgium","BELPPDMMINMEI"
"15","belgium","PIEAMP02BEM657N"
"16","belgium","BELPRMNCG02IXOBSAM"
"17","belgium","BELPRMNVG01IXOBSAM"
"18","belgium","CP0611BEM086NEST"
"19","belgium","BELLOCOBPNOSTSAM"
"20","belgium","BELPRCNTO01IXOBM"
"21","belgium","BVDEFT02BEM460S"
"22","belgium","BVDETE02BEM460S"
"23","belgium","BELCPGRSE01IXOBM"
"24","belgium","CP1120BEM086NEST"
"25","belgium","SERVRPBEM086NEST"
"26","belgium","CP0730BEM086NEST"
"27","belgium","LMUNRLTTBEM647S"
"28","belgium","LFHUTTTTBEM647S"
"29","belgium","RBBEBIS"
"30","belgium","CCRETT01BEM661N"
"31","belgium","RNBEBIS"
"32","belgium","CCUSSP01BEM650N"
"33","belgium","CPGRLE01BEM657N"
"34","belgium","IR3TIB01BEM156N"
"35","belgium","IRSTCI01BEM156N"
"36","belgium","IRLTLT01BEM156N"
"37","belgium","IRLTCT01BEM156N"
"38","belgium","BELLOCOBXNOSTSAM"
"39","belgium","BELXTIMVA01CXMLM"
