"","country","codigo"
"1","france","CP0430FRM086NEST"
"2","france","CP0432FRM086NEST"
"3","france","CP0440FRM086NEST"
"4","france","BSPRFT02FRM460S"
"5","france","FRAPROMANMISMEI"
"6","france","FRALOCOBPNOSTSAM"
"7","france","FRALOCOBPORSTSAM"
"8","france","FRAPROCONMISMEI"
"9","france","FRAPRCNTO01GPSAM"
"10","france","FRAPREND401IXOBSAM"
"11","france","BVDEFT02FRM460S"
"12","france","CP1260FRM086NEST"
"13","france","SERVTRFRM086NEST"
"14","france","LFHUTTTTFRM647S"
"15","france","CPGRLE01FRM657N"
"16","france","FRALOCOBXNOSTSAM"
