"","country","codigo"
"1","germany","DEUBRODFT02STSAM"
"2","germany","BCEMFT02DEM460S"
"3","germany","BVEMTE02DEM460S"
"4","germany","CP0410DEM086NEST"
"5","germany","CP0444DEM086NEST"
"6","germany","DEUPERMITMISMEI"
"7","germany","BSFGLV02DEM460S"
"8","germany","DEUODMNTO01IXOBSAM"
"9","germany","DEUPIEAFD02GPM"
"10","germany","DEUPIEAMP02GPM"
"11","germany","DEUPRMNCG02IXOBSAM"
"12","germany","DEUPRMNVG01IXOBSAM"
"13","germany","DEUPROCONMISMEI"
"14","germany","DEUPRCNTO01GPSAM"
"15","germany","DEUPRINTO01GPSAM"
"16","germany","DEUCPHPSE01IXOBM"
"17","germany","DEUCP120000GPM"
"18","germany","CP1120DEM086NEST"
"19","germany","CP1260DEM086NEST"
"20","germany","CP1200DEM086NEST"
"21","germany","SERVCODEM086NEST"
"22","germany","CP0730DEM086NEST"
"23","germany","LMUNRLTTDEM647S"
"24","germany","NBDEBIS"
"25","germany","CSINFT02DEM460S"
"26","germany","CPGRLE01DEM657N"
"27","germany","IRSTCI01DEM156N"
"28","germany","TRESEGDEM052N"
"29","germany","DEULOCOSINOSTSAM"
"30","germany","DEULOCOSIORSTM"
"31","germany","DEUXTIMVA01CXMLM"
"32","germany","IMPGE"
