"","country","codigo"
"1","global","CUURX000SACL1E"
"2","global","CUURA000SACL1"
"3","global","CUURX000SACL1"
"4","global","CUURA000SACE"
"5","global","CUURX000SAM1"
"6","global","MCOILBRENTEU"
"7","global","MCOILWTICO"
"8","global","EMVCOMMMKT"
"9","global","IQAG"
"10","global","IR"
"11","global","MJFUELUSGULF"
"12","global","WPS011102"
"13","global","WPS013102"
"14","global","WPS0132"
"15","global","WPS0142"
"16","global","WPS0542"
"17","global","WPS0571"
"18","global","WPS057302"
"19","global","WPS054321"
"20","global","WPS0573"
"21","global","WPS0551"
"22","global","WPS057103"
"23","global","WPS055"
"24","global","WPS026"
"25","global","WPS022"
"26","global","WPS022206"
