"","country","codigo"
"1","india","INDPRMNCG02IXOBSAM"
"2","india","INDPRMNTO01IXOBM"
"3","india","CCRETT01INM661N"
"4","india","WPIAMP01INM661N"
"5","india","INDWPIAMP01GPM"
"6","india","INDLOCOPGNOSTSAM"
"7","india","INDLOCOPMNOSTSAM"
"8","india","INDPRENEL01IXOBM"
"9","india","INDPRINTO01IXOBM"
"10","india","INDPRMITO01IXOBM"
"11","india","IRSTCI01INM156N"
"12","india","IRSTCB01INM156N"
"13","india","IRSTPI01INM156N"
"14","india","INTDSRINM193N"
"15","india","TRESEGINM052N"
"16","india","XTEXVA01INM657S"
"17","india","XTEITT01INM156S"
"18","india","EXP5330"
"19","india","XTIMVA01INM657S"
"20","india","IMP5330"
"21","india","BSESN"
