"","country","codigo"
"1","ireland","CP1252IEM086NEST"
"2","ireland","BSCICP02IEM460S"
"3","ireland","BSSPFT02IEM460S"
"4","ireland","IRLPIEAFD02GPM"
"5","ireland","IRLPIEAMP01GPM"
"6","ireland","PIEAFD01IEM661N"
"7","ireland","IRLPROMANMISMEI"
"8","ireland","IRLCP120000GPM"
"9","ireland","SERVTRIEM086NEST"
"10","ireland","CP0730IEM086NEST"
"11","ireland","LMUNRLTTIEM647S"
"12","ireland","NBIEBIS"
"13","ireland","CCRETT01IEM661N"
"14","ireland","CPGRLE01IEM657N"
"15","ireland","IRLLOCOTXORSTSAM"
"16","ireland","XTIMVA01IEM657S"
"17","ireland","ISEQ"
