"","country","codigo"
"1","korea","LFEAICTTKRM647S"
"2","korea","LFEASETTKRM647S"
"3","korea","LFESEETTKRM647S"
"4","korea","BSCICP03KRM665S"
"5","korea","BSOITE02KRM460S"
"6","korea","BSSPFT02KRM460S"
"7","korea","KORPPDMMINMEI"
"8","korea","PIEAMP02KRM659N"
"9","korea","KORPRMNTO01GPSAM"
"10","korea","KORSLMNTO01IXOBSAM"
"11","korea","KORPISPPR02GPM"
"12","korea","KORB6DBSE01CXCUSAM"
"13","korea","KORCP120000GPM"
"14","korea","KORCPGRSE01IXOBM"
"15","korea","LRHUTTTTKRM156S"
"16","korea","IRSTCI01KRM156N"
"17","korea","INTDSRKRM193N"
"18","korea","KORB6FARA01CXCUM"
"19","korea","KORLOCOSIORSTM"
"20","korea","XTEXVA01KRM657S"
"21","korea","XTIMVA01KRM657S"
"22","korea","KORXTIMVA01NCMLM"
"23","korea","IMPKR"
