"","country","codigo"
"1","netherlands","BSEMFT02NLM460S"
"2","netherlands","BVEMTE02NLM460S"
"3","netherlands","CP0400NLM086NEST"
"4","netherlands","CP0444NLM086NEST"
"5","netherlands","BSCICP02NLM460S"
"6","netherlands","NLDLOCOBPNOSTSAM"
"7","netherlands","BVDEFT02NLM460S"
"8","netherlands","CP0621NLM086NEST"
"9","netherlands","SERVMINLM086NEST"
"10","netherlands","CSINFT02NLM460S"
"11","netherlands","NLDCPHPLA01IXOBM"
"12","netherlands","IRLTLT01NLM156N"
"13","netherlands","EXP4210"
"14","netherlands","NLDXTIMVA01CXMLM"
"15","netherlands","AEX"
