"","country","codigo"
"1","spain","ESPBRODFT02STSAM"
"2","spain","BVEMFT02ESM460S"
"3","spain","BVEMTE02ESM460S"
"4","spain","CP0500ESM086NEST"
"5","spain","CP0400ESM086NEST"
"6","spain","CP1252ESM086NEST"
"7","spain","CP0440ESM086NEST"
"8","spain","ESPPERMITMISMEI"
"9","spain","BSPRFT02ESM460S"
"10","spain","BSPRTE02ESM460S"
"11","spain","BSSPFT02ESM460S"
"12","spain","ESPPIEAMP02GPM"
"13","spain","ESPPROMANMISMEI"
"14","spain","ESPPROCONMISMEI"
"15","spain","ESPPREND401IXOBSAM"
"16","spain","ESPPRMITO01IXOBSAM"
"17","spain","BVDETE02ESM460S"
"18","spain","ESPCPHP1200GPM"
"19","spain","CP1120ESM086NEST"
"20","spain","CP0621ESM086NEST"
"21","spain","SERVCOESM086NEST"
"22","spain","LMUNRLTTESM647S"
"23","spain","LFHUTTTTESM647S"
"24","spain","CCUSMA02ESM661N"
"25","spain","RBESBIS"
"26","spain","RNESBIS"
"27","spain","CPGRLE01ESM657N"
"28","spain","ESPXTEXVA01CXMLM"
"29","spain","EXP4700"
"30","spain","XTIMVA01ESM657S"
"31","spain","IBEX"
