"","country","codigo"
"1","united kingdom","GBRCP040200IXOBM"
"2","united kingdom","BSCICP02GBM460S"
"3","united kingdom","GBRPROMANMISMEI"
"4","united kingdom","LCEAMN02GBM661S"
"5","united kingdom","GBRLOCOBPNOSTSAM"
"6","united kingdom","GBRPREND401IXOBM"
"7","united kingdom","GBRPRMITO01IXOBSAM"
"8","united kingdom","GBRCPHPSE01IXOBM"
"9","united kingdom","GBRCP040400IXOBM"
"10","united kingdom","GBRCPGRLH02IXOBM"
"11","united kingdom","GBRCPGRSE01IXOBM"
"12","united kingdom","LMUNRLTTGBM647S"
"13","united kingdom","CCRETT01GBM661N"
"14","united kingdom","CCUSSP01GBM650N"
"15","united kingdom","IRLTLT01GBM156N"
"16","united kingdom","IMPUK"
