"","country","codigo"
"1","usa","A132RC1"
"2","usa","ASPNHSUS"
"3","usa","AUTHNOTT"
"4","usa","CAPUTLGMFDS"
"5","usa","CAPUTLGMFNS"
"6","usa","CAPUTLGMFOS"
"7","usa","CAPGMFOS"
"8","usa","AMDMUO"
"9","usa","AMTMUO"
"10","usa","CC4WSA"
"11","usa","CUSR0000SAD"
"12","usa","CUSR0000SETB01"
"13","usa","EMVMACROINFLATION"
"14","usa","DPCCRC1M027SBEA"
"15","usa","PCU311311"
"16","usa","PCU212322212322"
"17","usa","PCU212210212210"
"18","usa","PCU311212311212"
"19","usa","MICH"
"20","usa","HQMCB100YR"
"21","usa","HQMCB10YRP"
"22","usa","HQMCB1YR"
"23","usa","DTP30A29"
"24","usa","CPN3M"
"25","usa","EMVMACROINTEREST"
"26","usa","BAMLC0A2CAAEY"
"27","usa","BAMLH0A3HYCEY"
"28","usa","BAMLHYH0A3CMTRIV"
"29","usa","M2REAL"
"30","usa","T10Y2YM"
"31","usa","T10Y3MM"
"32","usa","T3MFFM"
"33","usa","T6MFFM"
"34","usa","WOTHAST"
"35","usa","BOPGSTB"
"36","usa","BOPSTB"
"37","usa","AUESA"
"38","usa","BSXRLV02USM086S"
"39","usa","EXPMANUS"
"40","usa","BOPSIMP"
