"","1r","2r","3r","4r"
"NGDPRSAXDCAUQ",NA,NA,NA,NA
"AUSLOCOBDNOSTSAM",NA,NA,NA,NA
"LFEMTTTTAUM657S",NA,NA,NA,NA
"LREMTTTTAUM156S",NA,1,NA,NA
"LFESEETTAUM647S",NA,NA,NA,NA
"AUSPERMITMISMEI",NA,NA,NA,NA
"BSCICP03AUM665S",NA,NA,NA,NA
"AUSLOCOBPNOSTSAM",NA,NA,NA,NA
"LRHUTTTTAUM156S",NA,1,NA,NA
"LFHUTTTTAUM647S",NA,NA,NA,NA
"NBAUBIS",NA,NA,NA,NA
"NNAUBIS",NA,NA,NA,NA
"CCUSMA02AUM661N",NA,NA,NA,NA
"RBAUBIS",NA,NA,NA,NA
"CCRETT01AUM661N",NA,NA,NA,NA
"RNAUBIS",NA,NA,NA,NA
"EXUSAL",NA,NA,NA,NA
"CCUSSP01AUM650N",NA,NA,NA,NA
"CSINFT02AUM460S",NA,1,NA,NA
"IR3TBB01AUM156N",NA,1,NA,NA
"IR3TIB01AUM156N",NA,1,NA,NA
"IRSTCI01AUM156N",NA,1,NA,NA
"IRLTLT01AUM156N",NA,NA,NA,NA
"TRESEGAUM052N",NA,NA,NA,NA
"XTEXVA01AUM657S",NA,NA,NA,NA
"AUSXTEXVA01CXMLM",NA,NA,NA,NA
"EXP6021",NA,NA,NA,NA
"XTIMVA01AUM657S",NA,NA,NA,NA
"AUSXTIMVA01CXMLM",NA,NA,NA,NA
"IMP6021",NA,NA,NA,NA
"AXJO",NA,NA,NA,NA
"AORD",NA,NA,NA,NA
