"","1r","2r","3r","4r"
"NGDPRSAXDCAUQ","Estacionario","Estacionario",NA,NA
"AUSLOCOBDNOSTSAM","Estacionario","Estacionario",NA,NA
"LFEMTTTTAUM657S","Estacionario","Estacionario",NA,NA
"LREMTTTTAUM156S",NA,"Estacionario",NA,NA
"LFESEETTAUM647S","Estacionario","Estacionario",NA,NA
"AUSPERMITMISMEI","Estacionario","Estacionario",NA,NA
"BSCICP03AUM665S","Estacionario","Estacionario",NA,NA
"AUSLOCOBPNOSTSAM","Estacionario","Estacionario",NA,NA
"LRHUTTTTAUM156S",NA,"Estacionario",NA,NA
"LFHUTTTTAUM647S","Estacionario","Estacionario",NA,NA
"NBAUBIS","Estacionario","Estacionario",NA,NA
"NNAUBIS","Estacionario","Estacionario",NA,NA
"CCUSMA02AUM661N","Estacionario","Estacionario",NA,NA
"RBAUBIS","Estacionario","Estacionario",NA,NA
"CCRETT01AUM661N","Estacionario","Estacionario",NA,NA
"RNAUBIS","Estacionario","Estacionario",NA,NA
"EXUSAL","Estacionario","Estacionario",NA,NA
"CCUSSP01AUM650N","Estacionario","Estacionario",NA,NA
"CSINFT02AUM460S",NA,"Estacionario",NA,NA
"IR3TBB01AUM156N",NA,"Estacionario",NA,NA
"IR3TIB01AUM156N",NA,"Estacionario",NA,NA
"IRSTCI01AUM156N",NA,"Estacionario",NA,NA
"IRLTLT01AUM156N","Estacionario","Estacionario",NA,NA
"TRESEGAUM052N","Estacionario","Estacionario",NA,NA
"XTEXVA01AUM657S","Estacionario","Estacionario",NA,NA
"AUSXTEXVA01CXMLM","Estacionario","Estacionario",NA,NA
"EXP6021","Estacionario","Estacionario",NA,NA
"XTIMVA01AUM657S","Estacionario","Estacionario",NA,NA
"AUSXTIMVA01CXMLM","Estacionario","Estacionario",NA,NA
"IMP6021","Estacionario","Estacionario",NA,NA
"AXJO","Estacionario","Estacionario",NA,NA
"AORD","Estacionario","Estacionario",NA,NA
