"","1r","2r","3r","4r"
"NGDPRSAXDCAUQ",0.01,0.01,0.01,NA
"AUSLOCOBDNOSTSAM",0.01,0.01,0.01,NA
"LFEMTTTTAUM657S",0.0237477804416835,0.0234582937607042,0.0236101246308727,NA
"LREMTTTTAUM156S",0.672541513040968,0.01,0.652491852344934,NA
"LFESEETTAUM647S",0.01,0.01,0.01,NA
"AUSPERMITMISMEI",0.01,0.01,0.01,NA
"BSCICP03AUM665S",0.01,0.01,0.01,NA
"AUSLOCOBPNOSTSAM",0.01,0.01,0.01,NA
"LRHUTTTTAUM156S",0.467240555660538,0.0108205387607313,0.363402500310166,NA
"LFHUTTTTAUM647S",0.0149680144945721,0.0154988360613799,0.0175053073735324,NA
"NBAUBIS",0.01,0.01,0.01,NA
"NNAUBIS",0.01,0.01,0.01,NA
"CCUSMA02AUM661N",0.01,0.01,0.01,NA
"RBAUBIS",0.01,0.01,0.01,NA
"CCRETT01AUM661N",0.01,0.01,0.01,NA
"RNAUBIS",0.01,0.01,0.01,NA
"EXUSAL",0.01,0.01,0.01,NA
"CCUSSP01AUM650N",0.01,0.01,0.01,NA
"CSINFT02AUM460S",0.526348626792466,0.01,0.533092478566489,NA
"IR3TBB01AUM156N",0.499023091711114,0.01,0.554629447748836,NA
"IR3TIB01AUM156N",0.499023091711114,0.01,0.554629447748836,NA
"IRSTCI01AUM156N",0.522252627166425,0.01,0.572911483572153,NA
"IRLTLT01AUM156N",0.0433551125477528,0.01,0.01,NA
"TRESEGAUM052N",0.01,0.01,0.01,NA
"XTEXVA01AUM657S",0.01,0.01,0.01,NA
"AUSXTEXVA01CXMLM",0.01,0.01,0.01,NA
"EXP6021",0.01,0.01,0.01,NA
"XTIMVA01AUM657S",0.01,0.01,0.01,NA
"AUSXTIMVA01CXMLM",0.01,0.01,0.01,NA
"IMP6021",0.01,0.01,0.01,NA
"AXJO",0.01,0.01,0.01,NA
"AORD",0.01,0.01,0.01,NA
