"","1r","2r","3r","4r"
"CPMNACSCAB1GQAT",NA,NA,NA,NA
"AUTBRODFT02STSAM",NA,NA,NA,NA
"BCEMFT02ATM460S",1,NA,1,1
"BSEMFT02ATM460S",NA,NA,NA,NA
"BVEMFT02ATM460S",NA,NA,NA,NA
"BVEMTE02ATM460S",NA,NA,NA,NA
"CP0410ATM086NEST",NA,NA,NA,NA
"CP0500ATM086NEST",NA,NA,NA,NA
"CP0400ATM086NEST",NA,NA,NA,NA
"CP1252ATM086NEST",1,NA,1,1
"CP0430ATM086NEST",NA,NA,NA,NA
"CP0431ATM086NEST",NA,NA,NA,NA
"CP0444ATM086NEST",1,NA,1,1
"X00XHOUATM086NEST",NA,NA,NA,NA
"CP0432ATM086NEST",NA,NA,NA,NA
"SERVHOATM086NEST",NA,NA,NA,NA
"CP0550ATM086NEST",NA,NA,NA,NA
"CP0440ATM086NEST",NA,NA,NA,NA
"BSCICP02ATM460S",NA,NA,NA,NA
"BSCICP03ATM665S",NA,NA,NA,NA
"BSFGLV02ATM460S",1,NA,1,1
"BSOBLV02ATM460S",NA,NA,1,1
"BSPRFT02ATM460S",NA,NA,NA,NA
"BSPRTE02ATM460S",NA,NA,NA,NA
"BSSPFT02ATM460S",1,NA,1,1
"LCEAMM01ATM661N",NA,NA,NA,NA
"LCEAMN01ATM661S",NA,NA,NA,NA
"AUTLCEAMN01GPSAM",NA,NA,NA,NA
"LCEAMM03ATM661S",NA,NA,NA,NA
"AUTPROMANMISMEI",NA,NA,NA,NA
"AUTPRMNCG02IXOBSAM",NA,NA,NA,NA
"AUTPRMNCG03IXOBSAM",NA,NA,NA,NA
"AUTPRMNCG01IXOBSAM",1,NA,1,1
"AUTPRMNIG01IXOBSAM",NA,NA,NA,NA
"AUTPRMNVG01IXOBSAM",NA,NA,NA,NA
"AUTPRMNTO01GPSAM",NA,NA,NA,NA
"CP0611ATM086NEST",NA,NA,NA,NA
"AUTLOCOBPNOSTSAM",NA,NA,NA,NA
"AUTLOCOBPORSTSAM",NA,NA,NA,NA
"AUTPROCONMISMEI",NA,NA,NA,NA
"AUTPRCNTO01GPSAM",NA,NA,NA,NA
"AUTPREND401IXOBSAM",1,NA,NA,NA
"AUTPRINTO01GPSAM",NA,NA,NA,NA
"AUTPRMITO01IXOBSAM",NA,NA,NA,NA
"BVCICP02ATM460S",NA,NA,NA,NA
"BVDEFT02ATM460S",1,NA,1,1
"BVDETE02ATM460S",NA,NA,NA,NA
"AUTCPHPSE01IXOBM",NA,NA,NA,NA
"AUTCPGRSE01IXOBM",NA,NA,NA,NA
"CP1120ATM086NEST",NA,NA,NA,NA
"CP0562ATM086NEST",NA,NA,NA,NA
"CP1260ATM086NEST",1,NA,1,1
"CP0621ATM086NEST",1,NA,NA,NA
"SERV00ATM086NEST",NA,NA,NA,NA
"SERVCOATM086NEST",NA,NA,NA,NA
"SERVTRATM086NEST",NA,NA,NA,NA
"CP0730ATM086NEST",NA,NA,NA,NA
"LRHUTTTTATM156S",1,NA,1,1
"LRHUTTFEATM156S",1,NA,1,1
"LRHUTTMAATM156S",1,NA,1,1
"AUTLOCOEMNOSTSAM",NA,NA,NA,NA
"AUTLOCOEMORSTSAM",NA,NA,NA,NA
"LMUNRLTTATM647S",NA,NA,NA,NA
"LMUNRRTTATM156S",1,NA,1,1
"LFHUTTTTATM647S",NA,NA,NA,NA
"NBATBIS",NA,NA,NA,NA
"NNATBIS",NA,NA,NA,NA
"CCUSMA02ATM661N",NA,NA,NA,NA
"RBATBIS",NA,NA,NA,NA
"CCRETT01ATM661N",NA,NA,NA,NA
"RNATBIS",NA,NA,NA,NA
"CCUSSP01ATM650N",NA,NA,NA,NA
"CSINFT02ATM460S",NA,NA,NA,NA
"AUTCPHPLA01GPM",1,NA,1,1
"CPGRLE01ATM657N",1,NA,1,1
"IR3TIB01ATM156N",NA,NA,1,1
"IRSTCI01ATM156N",1,NA,1,1
"IRSTCB01ATM156N",1,NA,1,1
"IRLTLT01ATM156N",1,1,NA,NA
"AUTLOCOSINOSTSAM",NA,1,NA,NA
"AUTLOCOSIORSTM",1,NA,1,1
"BSXRLV02ATM086S",NA,NA,NA,NA
"XTEXVA01ATM657S",NA,NA,NA,NA
"AUTXTEXVA01CXMLM",NA,NA,NA,NA
"EXP4330",1,1,NA,NA
"XTIMVA01ATM657S",NA,NA,NA,NA
"AUTXTIMVA01CXMLM",NA,NA,NA,NA
"IMP4330",NA,NA,NA,NA
"ATX",NA,NA,NA,NA
