"","1r","2r","3r","4r"
"CPMNACSCAB1GQAT","Estacionario","Estacionario","Estacionario","Estacionario"
"AUTBRODFT02STSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BCEMFT02ATM460S",NA,"Estacionario",NA,NA
"BSEMFT02ATM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BVEMFT02ATM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BVEMTE02ATM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0410ATM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0500ATM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0400ATM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1252ATM086NEST",NA,"Estacionario",NA,NA
"CP0430ATM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0431ATM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0444ATM086NEST",NA,"Estacionario",NA,NA
"X00XHOUATM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0432ATM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVHOATM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0550ATM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0440ATM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP02ATM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP03ATM665S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSFGLV02ATM460S",NA,"Estacionario",NA,NA
"BSOBLV02ATM460S","Estacionario","Estacionario",NA,NA
"BSPRFT02ATM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSPRTE02ATM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSSPFT02ATM460S",NA,"Estacionario",NA,NA
"LCEAMM01ATM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"LCEAMN01ATM661S","Estacionario","Estacionario","Estacionario","Estacionario"
"AUTLCEAMN01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"LCEAMM03ATM661S","Estacionario","Estacionario","Estacionario","Estacionario"
"AUTPROMANMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"AUTPRMNCG02IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
