"","1r","2r","3r","4r"
"CPMNACSCAB1GQAT",0.0205547339949045,0.0205547339949045,0.0213063651692238,0.0224627571894873
"AUTBRODFT02STSAM",0.01,0.01,0.01,0.01
"BCEMFT02ATM460S",0.01,0.01,0.114133685348802,0.01
"BSEMFT02ATM460S",0.01,0.01,0.01,0.01
"BVEMFT02ATM460S",0.0162314425670447,0.0162314425670447,0.0358125395636434,0.0538582298290018
"BVEMTE02ATM460S",0.0240303411677183,0.0240303411677183,0.0377359977865894,0.0446708300524993
"CP0410ATM086NEST",0.01,0.01,0.01,0.01
"CP0500ATM086NEST",0.01,0.01,0.01,0.01
"CP0400ATM086NEST",0.01,0.01,0.01,0.01
"CP1252ATM086NEST",0.01,0.01,0.560630107955047,0.01
"CP0430ATM086NEST",0.0158818445561395,0.0158818445561395,0.0252475949174933,0.0273233643510457
"CP0431ATM086NEST",0.01,0.01,0.01,0.01
"CP0444ATM086NEST",0.01,0.01,0.314735936641049,0.01
"X00XHOUATM086NEST",0.01,0.01,0.01,0.01
"CP0432ATM086NEST",0.0335269118126907,0.0335269118126907,0.0216197466558668,0.0291712466284457
"SERVHOATM086NEST",0.0209736644664079,0.0209736644664079,0.0227309680397245,0.0231422900330491
"CP0550ATM086NEST",0.01,0.01,0.01,0.01
"CP0440ATM086NEST",0.01,0.01,0.01,0.01
"BSCICP02ATM460S",0.0300176941475025,0.0300176941475025,0.0336555165188528,0.0372644902799239
"BSCICP03ATM665S",0.01,0.01,0.01,0.01
"BSFGLV02ATM460S",0.01,0.01,0.108566076977465,0.0151659321201283
"BSOBLV02ATM460S",0.0473017547245763,0.0473017547245763,0.0537004851076984,0.01
"BSPRFT02ATM460S",0.01,0.01,0.0111512074512226,0.0132465521786225
"BSPRTE02ATM460S",0.01,0.01,0.01,0.01
"BSSPFT02ATM460S",0.01,0.01,0.176834485305229,0.01
"LCEAMM01ATM661N",0.01,0.01,0.01,0.01
"LCEAMN01ATM661S",0.01,0.01,0.01,0.01
"AUTLCEAMN01GPSAM",0.01,0.01,0.01,0.01
"LCEAMM03ATM661S",0.01,0.01,0.01,0.01
"AUTPROMANMISMEI",0.01,0.01,0.01,0.01
"AUTPRMNCG02IXOBSAM",0.01,0.01,0.01,0.01
"AUTPRMNCG03IXOBSAM",0.0200245759961989,0.0200245759961989,0.0257057274265984,0.0268768158772906
"AUTPRMNCG01IXOBSAM",0.01,0.01,0.0908216056859456,0.01
"AUTPRMNIG01IXOBSAM",0.01,0.01,0.01,0.01
"AUTPRMNVG01IXOBSAM",0.01,0.01,0.01,0.01
"AUTPRMNTO01GPSAM",0.01,0.01,0.01,0.01
"CP0611ATM086NEST",0.028618860496203,0.028618860496203,0.0286370001673937,0.0213815781144765
"AUTLOCOBPNOSTSAM",0.01,0.01,0.01,0.01
"AUTLOCOBPORSTSAM",0.01,0.01,0.0111512074512226,0.0132465521786225
"AUTPROCONMISMEI",0.01,0.01,0.01,0.01
"AUTPRCNTO01GPSAM",0.01,0.01,0.01,0.01
"AUTPREND401IXOBSAM",0.01,0.01,0.0477034192666427,0.0407559889854895
"AUTPRINTO01GPSAM",0.01,0.01,0.01,0.01
"AUTPRMITO01IXOBSAM",0.01,0.01,0.01,0.01
"BVCICP02ATM460S",0.0110182531053243,0.0110182531053243,0.0171899873648309,0.0209479100786492
"BVDEFT02ATM460S",0.01,0.01,0.0997579924618869,0.01
"BVDETE02ATM460S",0.01,0.01,0.01,0.0101628509997592
"AUTCPHPSE01IXOBM",0.01,0.01,0.01,0.01
"AUTCPGRSE01IXOBM",0.01,0.01,0.01,0.01
"CP1120ATM086NEST",0.0219200199949492,0.0219200199949492,0.0215354738018924,0.0245304044594448
"CP0562ATM086NEST",0.01,0.01,0.010091665809625,0.0113551703125643
"CP1260ATM086NEST",0.01,0.01,0.163199413728711,0.01
"CP0621ATM086NEST",0.01,0.01,0.0332410117879141,0.0285671542476196
"SERV00ATM086NEST",0.01,0.01,0.01,0.01
"SERVCOATM086NEST",0.0140665344168366,0.0140665344168366,0.0152504216941629,0.0155134908047722
"SERVTRATM086NEST",0.01,0.01,0.01,0.01
"CP0730ATM086NEST",0.01,0.01,0.01,0.01
"LRHUTTTTATM156S",0.01,0.01,0.0645088214175584,0.01
"LRHUTTFEATM156S",0.0110590972030456,0.0110590972030456,0.0795077943925062,0.0145739043202413
"LRHUTTMAATM156S",0.01,0.01,0.150505604005975,0.01
"AUTLOCOEMNOSTSAM",0.01,0.01,0.01,0.01
"AUTLOCOEMORSTSAM",0.0379971687728482,0.0379971687728482,0.0395905460869715,0.0403044865886594
"LMUNRLTTATM647S",0.01,0.01,0.01,0.01
"LMUNRRTTATM156S",0.01,0.01,0.162368420423416,0.01
"LFHUTTTTATM647S",0.01,0.01,0.01,0.01
"NBATBIS",0.01,0.01,0.01,0.01
"NNATBIS",0.01,0.01,0.01,0.01
"CCUSMA02ATM661N",0.01,0.01,0.01,0.01
"RBATBIS",0.01,0.01,0.01,0.01
"CCRETT01ATM661N",0.01,0.01,0.01,0.01
"RNATBIS",0.0216239451960669,0.0216239451960669,0.023303130176397,0.0245650874230619
"CCUSSP01ATM650N",0.01,0.01,0.01,0.01
"CSINFT02ATM460S",0.01,0.01,0.01,0.01
"AUTCPHPLA01GPM",0.01,0.01,0.0920483893075237,0.01
"CPGRLE01ATM657N",0.01,0.01,0.148929998123352,0.01
"IR3TIB01ATM156N",0.048214183009841,0.048214183009841,0.0605817119638667,0.01
"IRSTCI01ATM156N",0.0151820038953775,0.0151820038953775,0.155977429030446,0.0494266986049757
"IRSTCB01ATM156N",0.01112506344167,0.01112506344167,0.101223071504746,0.0749139136049088
"IRLTLT01ATM156N",0.01,0.0802951459675589,0.01,0.834605429573548
"AUTLOCOSINOSTSAM",0.01,0.0517065533803702,0.01,0.051274795513019
"AUTLOCOSIORSTM",0.01,0.01,0.0760118290478193,0.01
"BSXRLV02ATM086S",0.01,0.01,0.01,0.01
"XTEXVA01ATM657S",0.01,0.01,0.01,0.01
"AUTXTEXVA01CXMLM",0.01,0.01,0.0185230416263192,0.0318961725644559
"EXP4330",0.01,0.0893499902960163,0.01,0.99
"XTIMVA01ATM657S",0.0282488196098068,0.01,0.01,0.01
"AUTXTIMVA01CXMLM",0.0113339702067922,0.01,0.01,0.01
"IMP4330",0.0260590027413417,0.0282488196098068,0.0321412390691847,0.0340980317438733
"ATX",0.0107585860301583,0.0113339702067922,0.0111578220631262,0.0103294179099537
