"","1r","2r","3r","4r"
"CPMNACSCAB1GQBE",NA,NA,NA,NA
"BELBRODFT02STSAM",NA,NA,NA,NA
"BELLOCOBDNOSTSAM",NA,NA,NA,NA
"BELLOCOBDORSTSAM",NA,NA,1,1
"BCEMFT02BEM460S",1,NA,1,1
"BSEMFT02BEM460S",NA,NA,NA,NA
"BVEMFT02BEM460S",NA,NA,NA,NA
"BVEMTE02BEM460S",NA,NA,NA,NA
"CP0410BEM086NEST",NA,NA,NA,NA
"CP0500BEM086NEST",NA,NA,NA,NA
"CP0400BEM086NEST",NA,NA,NA,NA
"CP1252BEM086NEST",NA,NA,NA,NA
"CP0430BEM086NEST",NA,NA,NA,NA
"CP0431BEM086NEST",NA,NA,NA,NA
"X00XHOUBEM086NEST",NA,NA,NA,NA
"CP0432BEM086NEST",NA,NA,NA,NA
"SERVHOBEM086NEST",NA,NA,NA,NA
"CP0550BEM086NEST",1,1,NA,NA
"CP0440BEM086NEST",NA,NA,NA,NA
"BELPERMITMISMEI",NA,NA,NA,NA
"BSCICP02BEM460S",NA,NA,NA,NA
"BSCICP03BEM665S",NA,NA,NA,NA
"BSFGLV02BEM460S",NA,NA,NA,NA
"BSOBLV02BEM460S",NA,NA,1,1
"BSPRFT02BEM460S",NA,NA,NA,NA
"BSPRTE02BEM460S",NA,NA,NA,NA
"BSSPFT02BEM460S",1,NA,1,1
"BELPPDMMINMEI",1,NA,1,1
"PIEAMP02BEM657N",1,NA,1,1
"BELPROMANMISMEI",NA,NA,NA,NA
"BELPRMNCG02IXOBSAM",NA,NA,NA,NA
"BELPRMNCG03IXOBSAM",NA,NA,NA,NA
"BELPRMNIG01IXOBSAM",NA,NA,NA,NA
"BELPRMNVG01IXOBSAM",NA,NA,NA,NA
"BELPRMNTO01GPSAM",NA,NA,NA,NA
"CP0611BEM086NEST",1,NA,1,1
"BELLOCOBPNOSTSAM",NA,NA,NA,NA
"BELLOCOBPORSTSAM",NA,NA,NA,NA
"BELPRCNTO01IXOBM",NA,NA,NA,NA
"BELPRINTO01GPSAM",NA,NA,NA,NA
"BVCICP02BEM460S",NA,NA,NA,NA
"BVDEFT02BEM460S",NA,NA,NA,NA
"BVDETE02BEM460S",NA,NA,NA,NA
"BELCPHPSE01IXOBM",NA,NA,NA,NA
"BELCPGRSE01IXOBM",NA,NA,NA,NA
"CP1120BEM086NEST",NA,NA,NA,NA
"CP0562BEM086NEST",NA,NA,NA,NA
"SERV00BEM086NEST",NA,NA,NA,NA
"SERVCOBEM086NEST",NA,NA,NA,NA
"SERVRPBEM086NEST",NA,NA,NA,NA
"SERVTRBEM086NEST",NA,NA,NA,NA
"SERVMIBEM086NEST",NA,NA,NA,NA
"CP0730BEM086NEST",1,NA,1,1
"LRHUTTTTBEM156S",1,NA,1,1
"LMUNRLTTBEM647S",NA,NA,NA,NA
"LMUNRRTTBEM156S",1,NA,1,1
"LFHUTTTTBEM647S",NA,NA,NA,NA
"NBBEBIS",NA,NA,NA,NA
"NNBEBIS",NA,NA,NA,NA
"CCUSMA02BEM661N",NA,NA,NA,NA
"RBBEBIS",NA,NA,NA,NA
"CCRETT01BEM661N",NA,NA,NA,NA
"RNBEBIS",NA,NA,NA,NA
"CCUSSP01BEM650N",NA,NA,NA,NA
"CSINFT02BEM460S",NA,NA,NA,NA
"BELCPHPLA01IXOBM",NA,NA,NA,NA
"CPGRLE01BEM657N",NA,NA,NA,NA
"IR3TIB01BEM156N",1,NA,1,1
"IRSTCI01BEM156N",1,NA,1,1
"IRLTLT01BEM156N",1,NA,1,1
"IRLTCT01BEM156N",1,NA,1,1
"BSXRLV02BEM086S",NA,NA,NA,NA
"XTEXVA01BEM657S",NA,NA,NA,NA
"BELXTEXVA01CXMLM",NA,NA,NA,NA
"BELLOCOBXNOSTSAM",NA,NA,NA,NA
"BELLOCOBXORSTSAM",NA,NA,NA,NA
"EXP4231",NA,NA,NA,NA
"XTIMVA01BEM657S",NA,NA,NA,NA
"BELXTIMVA01CXMLM",NA,NA,NA,NA
"IMP4231",NA,NA,NA,NA
"BFX",NA,NA,NA,NA
