"","1r","2r","3r","4r"
"CPMNACSCAB1GQBE","Estacionario","Estacionario","Estacionario","Estacionario"
"BELBRODFT02STSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BELLOCOBDNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BELLOCOBDORSTSAM","Estacionario","Estacionario",NA,NA
"BCEMFT02BEM460S",NA,"Estacionario",NA,NA
"BSEMFT02BEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BVEMFT02BEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BVEMTE02BEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0410BEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0500BEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0400BEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1252BEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0430BEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0431BEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"X00XHOUBEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0432BEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVHOBEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0550BEM086NEST",NA,NA,"Estacionario","Estacionario"
"CP0440BEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"BELPERMITMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP02BEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP03BEM665S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSFGLV02BEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSOBLV02BEM460S","Estacionario","Estacionario",NA,NA
"BSPRFT02BEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSPRTE02BEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSSPFT02BEM460S",NA,"Estacionario",NA,NA
"BELPPDMMINMEI",NA,"Estacionario",NA,NA
"PIEAMP02BEM657N",NA,"Estacionario",NA,NA
"BELPROMANMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"BELPRMNCG02IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BELPRMNCG03IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BELPRMNIG01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BELPRMNVG01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BELPRMNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0611BEM086NEST",NA,"Estacionario",NA,NA
"BELLOCOBPNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BELLOCOBPORSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BELPRCNTO01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"BELPRINTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BVCICP02BEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BVDEFT02BEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BVDETE02BEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BELCPHPSE01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"BELCPGRSE01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1120BEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0562BEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERV00BEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVCOBEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVRPBEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVTRBEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVMIBEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0730BEM086NEST",NA,"Estacionario",NA,NA
"LRHUTTTTBEM156S",NA,"Estacionario",NA,NA
"LMUNRLTTBEM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LMUNRRTTBEM156S",NA,"Estacionario",NA,NA
"LFHUTTTTBEM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"NBBEBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"NNBEBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSMA02BEM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RBBEBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCRETT01BEM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RNBEBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSSP01BEM650N","Estacionario","Estacionario","Estacionario","Estacionario"
"CSINFT02BEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BELCPHPLA01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"CPGRLE01BEM657N","Estacionario","Estacionario","Estacionario","Estacionario"
"IR3TIB01BEM156N",NA,"Estacionario",NA,NA
"IRSTCI01BEM156N",NA,"Estacionario",NA,NA
"IRLTLT01BEM156N",NA,"Estacionario",NA,NA
"IRLTCT01BEM156N",NA,"Estacionario",NA,NA
"BSXRLV02BEM086S","Estacionario","Estacionario","Estacionario","Estacionario"
"XTEXVA01BEM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"BELXTEXVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"BELLOCOBXNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BELLOCOBXORSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"EXP4231","Estacionario","Estacionario","Estacionario","Estacionario"
"XTIMVA01BEM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"BELXTIMVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"IMP4231","Estacionario","Estacionario","Estacionario","Estacionario"
"BFX","Estacionario","Estacionario","Estacionario","Estacionario"
