"","1r","2r","3r","4r"
"CPMNACSCAB1GQBE",0.017463966098635,0.017463966098635,0.0189667639120057,0.0201753994734268
"BELBRODFT02STSAM",0.0153403798972334,0.0153403798972334,0.0186545801666537,0.0201547491220316
"BELLOCOBDNOSTSAM",0.01,0.01,0.01,0.01
"BELLOCOBDORSTSAM",0.0486281163686071,0.0486281163686071,0.0551420714467666,0.01
"BCEMFT02BEM460S",0.0366403261152903,0.0366403261152903,0.321872480458491,0.0321711292215699
"BSEMFT02BEM460S",0.01,0.01,0.01,0.0115829102782676
"BVEMFT02BEM460S",0.01,0.01,0.01,0.01
"BVEMTE02BEM460S",0.0166061704874136,0.0166061704874136,0.0185358296530358,0.0390709545050839
"CP0410BEM086NEST",0.01,0.01,0.01,0.01
"CP0500BEM086NEST",0.01,0.01,0.01,0.01
"CP0400BEM086NEST",0.035646943455095,0.035646943455095,0.0435524948086344,0.0482015414153911
"CP1252BEM086NEST",0.015920142996238,0.015920142996238,0.0170575528002174,0.0181312109065801
"CP0430BEM086NEST",0.0356587499501198,0.0356587499501198,0.047466370384204,0.0467367280053005
"CP0431BEM086NEST",0.01,0.01,0.01,0.01
"X00XHOUBEM086NEST",0.01,0.01,0.01,0.01
"CP0432BEM086NEST",0.01,0.01,0.01,0.01
"SERVHOBEM086NEST",0.01,0.01,0.01,0.01
"CP0550BEM086NEST",0.01,0.360163291459374,0.01,0.786900740524466
"CP0440BEM086NEST",0.01,0.01,0.01,0.01
"BELPERMITMISMEI",0.0111908849749364,0.01,0.01,0.01
"BSCICP02BEM460S",0.01,0.0111908849749364,0.0150730469659432,0.0168294756148528
"BSCICP03BEM665S",0.0120856992467883,0.01,0.01,0.01
"BSFGLV02BEM460S",0.0470111352436156,0.0120856992467883,0.01,0.01
"BSOBLV02BEM460S",0.01,0.0470111352436156,0.0516789473469262,0.01
"BSPRFT02BEM460S",0.01,0.01,0.0116797413227361,0.0168831399449849
"BSPRTE02BEM460S",0.01,0.01,0.01,0.01
"BSSPFT02BEM460S",0.01,0.01,0.309599930484476,0.01
"BELPPDMMINMEI",0.01,0.01,0.49862940781242,0.01
"PIEAMP02BEM657N",0.01,0.01,0.313030436156652,0.01
"BELPROMANMISMEI",0.01,0.01,0.01,0.01
"BELPRMNCG02IXOBSAM",0.01,0.01,0.01,0.01
"BELPRMNCG03IXOBSAM",0.01,0.01,0.01,0.01
"BELPRMNIG01IXOBSAM",0.01,0.01,0.01,0.01
"BELPRMNVG01IXOBSAM",0.01,0.01,0.01,0.01
"BELPRMNTO01GPSAM",0.01,0.01,0.01,0.01
"CP0611BEM086NEST",0.01,0.01,0.0814914878844405,0.01
"BELLOCOBPNOSTSAM",0.01,0.01,0.01,0.01
"BELLOCOBPORSTSAM",0.01,0.01,0.01,0.01
"BELPRCNTO01IXOBM",0.01,0.01,0.01,0.01
"BELPRINTO01GPSAM",0.01,0.01,0.01,0.01
"BVCICP02BEM460S",0.0129782937980258,0.01,0.01,0.01
"BVDEFT02BEM460S",0.01,0.0129782937980258,0.0193376799106193,0.0352443785182764
"BVDETE02BEM460S",0.01,0.01,0.01,0.01
"BELCPHPSE01IXOBM",0.01,0.01,0.01,0.01
"BELCPGRSE01IXOBM",0.01,0.01,0.01,0.01
"CP1120BEM086NEST",0.01,0.01,0.01,0.01
"CP0562BEM086NEST",0.01,0.01,0.01,0.01
"SERV00BEM086NEST",0.01,0.01,0.01,0.01
"SERVCOBEM086NEST",0.01,0.01,0.0272665897435241,0.0722287973426494
"SERVRPBEM086NEST",0.01,0.01,0.01,0.01
"SERVTRBEM086NEST",0.01,0.01,0.01,0.01
"SERVMIBEM086NEST",0.01,0.01,0.01,0.01
"CP0730BEM086NEST",0.0392212945386382,0.01,0.0865598480853147,0.01
"LRHUTTTTBEM156S",0.01,0.0392212945386382,0.275903334518752,0.0672750417980908
"LMUNRLTTBEM647S",0.0111306133391358,0.01,0.0128332278645697,0.01
"LMUNRRTTBEM156S",0.0176798765043821,0.0111306133391358,0.140094794759936,0.0182749110606796
"LFHUTTTTBEM647S",0.01,0.0176798765043821,0.020375026943914,0.0396314557482
"NBBEBIS",0.01,0.01,0.01,0.01
"NNBEBIS",0.01,0.01,0.01,0.01
"CCUSMA02BEM661N",0.01,0.01,0.01,0.01
"RBBEBIS",0.01,0.01,0.01,0.01
"CCRETT01BEM661N",0.01,0.01,0.01,0.01
"RNBEBIS",0.01,0.01,0.01,0.01
"CCUSSP01BEM650N",0.01,0.01,0.01,0.01
"CSINFT02BEM460S",0.01,0.01,0.01,0.01
"BELCPHPLA01IXOBM",0.0191752312445145,0.01,0.01,0.01
"CPGRLE01BEM657N",0.01,0.0191752312445145,0.022186320015443,0.022375095086396
"IR3TIB01BEM156N",0.0151820038953775,0.01,0.0753511010006507,0.01
"IRSTCI01BEM156N",0.0419899697001841,0.0151820038953775,0.155977429030446,0.0494266986049757
"IRLTLT01BEM156N",0.0300514651346135,0.0419899697001841,0.731846328365573,0.0443903645662892
"IRLTCT01BEM156N",0.01,0.0300514651346135,0.674186521780779,0.0322673733098977
"BSXRLV02BEM086S",0.01,0.01,0.01,0.01
"XTEXVA01BEM657S",0.01,0.01,0.01,0.01
"BELXTEXVA01CXMLM",0.01,0.01,0.01,0.01
"BELLOCOBXNOSTSAM",0.01,0.01,0.01,0.01
"BELLOCOBXORSTSAM",0.01,0.01,0.01,0.01
"EXP4231",0.014347826024486,0.01,0.01,0.01
