"","1r","2r","3r","4r"
"NGDPRSAXDCBRQ",NA,NA,NA,NA
"BSEMFT02BRM460S",1,NA,NA,NA
"BSCURT02BRM160S",1,NA,1,1
"BSCICP02BRM460S",NA,NA,NA,NA
"BSCICP03BRM665S",NA,NA,NA,NA
"BSFGLV02BRM460S",NA,NA,NA,NA
"BSOBLV02BRM460S",1,NA,1,1
"BSPRFT02BRM460S",1,NA,1,1
"BRAPROMANMISMEI",NA,NA,NA,NA
"BRAPRMNTO01GPSAM",NA,NA,NA,NA
"BRALOCOBPNOSTSAM",NA,NA,NA,NA
"BRALOCOBPORSTSAM",1,NA,1,1
"BRAPRINTO01GPSAM",NA,NA,NA,NA
"BRAPRMITO01IXOBSAM",NA,NA,NA,NA
"EXBZUS",NA,NA,NA,NA
"NBBRBIS",NA,NA,NA,NA
"CCUSMA02BRM618N",NA,NA,NA,NA
"CCUSSP02BRM650N",NA,NA,NA,NA
"RBBRBIS",NA,NA,NA,NA
"CCRETT01BRM661N",NA,NA,NA,NA
"IRSTCI01BRM156N",NA,NA,NA,NA
"IRSTCB01BRM156N",NA,NA,NA,NA
"IRSTFR01BRM156N",NA,NA,NA,NA
"INTDSRBRM193N",NA,NA,NA,NA
"INTGSTBRM193N",NA,1,NA,NA
"TRESEGBRM052N",NA,NA,NA,NA
"BSXRLV02BRM086S",NA,NA,NA,NA
"XTEXVA01BRM657S",NA,NA,NA,NA
"BRAXTEXVA01NCMLM",NA,NA,NA,NA
"XTEITT01BRM156S",1,NA,1,1
"EXP3510",NA,NA,NA,NA
"XTIMVA01BRM657S",NA,NA,NA,NA
"BRAXTIMVA01NCMLM",NA,NA,NA,NA
"IMP3510",NA,NA,NA,NA
"BVSP",NA,NA,NA,NA
