"","1r","2r","3r","4r"
"NGDPRSAXDCBRQ","Estacionario","Estacionario","Estacionario","Estacionario"
"BSEMFT02BRM460S",NA,"Estacionario","Estacionario","Estacionario"
"BSCURT02BRM160S",NA,"Estacionario",NA,NA
"BSCICP02BRM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP03BRM665S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSFGLV02BRM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSOBLV02BRM460S",NA,"Estacionario",NA,NA
"BSPRFT02BRM460S",NA,"Estacionario",NA,NA
"BRAPROMANMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"BRAPRMNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BRALOCOBPNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BRALOCOBPORSTSAM",NA,"Estacionario",NA,NA
"BRAPRINTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BRAPRMITO01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"EXBZUS","Estacionario","Estacionario","Estacionario","Estacionario"
"NBBRBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSMA02BRM618N","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSSP02BRM650N","Estacionario","Estacionario","Estacionario","Estacionario"
"RBBRBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCRETT01BRM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"IRSTCI01BRM156N","Estacionario","Estacionario","Estacionario","Estacionario"
"IRSTCB01BRM156N","Estacionario","Estacionario","Estacionario","Estacionario"
"IRSTFR01BRM156N","Estacionario","Estacionario","Estacionario","Estacionario"
"INTDSRBRM193N","Estacionario","Estacionario","Estacionario","Estacionario"
"INTGSTBRM193N","Estacionario",NA,"Estacionario","Estacionario"
"TRESEGBRM052N","Estacionario","Estacionario","Estacionario","Estacionario"
"BSXRLV02BRM086S","Estacionario","Estacionario","Estacionario","Estacionario"
"XTEXVA01BRM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"BRAXTEXVA01NCMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"XTEITT01BRM156S",NA,"Estacionario",NA,NA
"EXP3510","Estacionario","Estacionario","Estacionario","Estacionario"
"XTIMVA01BRM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"BRAXTIMVA01NCMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"IMP3510","Estacionario","Estacionario","Estacionario","Estacionario"
"BVSP","Estacionario","Estacionario","Estacionario","Estacionario"
