"","1r","2r","3r","4r"
"NGDPRSAXDCBRQ",0.01,0.01,0.01,0.01
"BSEMFT02BRM460S",0.01,0.01,0.0315620391947331,0.0343583996568779
"BSCURT02BRM160S",0.01,0.01,0.385772497568062,0.01
"BSCICP02BRM460S",0.0331695540058875,0.0331695540058875,0.0184590720278556,0.0237696149520773
"BSCICP03BRM665S",0.01,0.01,0.01,0.01
"BSFGLV02BRM460S",0.0197955340660308,0.0197955340660308,0.01,0.0379836493687756
"BSOBLV02BRM460S",0.01,0.01,0.0549093396256074,0.01
"BSPRFT02BRM460S",0.01,0.01,0.0740067041643854,0.01
"BRAPROMANMISMEI",0.01,0.01,0.01,0.01
"BRAPRMNTO01GPSAM",0.01,0.01,0.01,0.01
"BRALOCOBPNOSTSAM",0.01,0.01,0.01,0.01
"BRALOCOBPORSTSAM",0.01,0.01,0.0740067041643854,0.01
"BRAPRINTO01GPSAM",0.01,0.01,0.01,0.01
"BRAPRMITO01IXOBSAM",0.01,0.01,0.01,0.01
"EXBZUS",0.01,0.01,0.01,0.01
"NBBRBIS",0.01,0.01,0.01,0.01
"CCUSMA02BRM618N",0.01,0.01,0.01,0.01
"CCUSSP02BRM650N",0.01,0.01,0.01,0.01
"RBBRBIS",0.01,0.01,0.01,0.01
"CCRETT01BRM661N",0.01,0.01,0.01,0.01
"IRSTCI01BRM156N",0.0380789532744214,0.0380789532744214,0.01,0.516905020045488
"IRSTCB01BRM156N",0.0380789532744214,0.0380789532744214,0.01,0.516905020045488
"IRSTFR01BRM156N",0.023378241608959,0.023378241608959,0.01,0.453326784812153
"INTDSRBRM193N",0.0337833224466456,0.0337833224466456,0.01,0.195195984602691
"INTGSTBRM193N",0.01,0.0836503425984976,0.01,0.349948514287041
"TRESEGBRM052N",0.01,0.01,0.01,0.01
"BSXRLV02BRM086S",0.01,0.01,0.01,0.01
"XTEXVA01BRM657S",0.01,0.01,0.01,0.01
"BRAXTEXVA01NCMLM",0.01,0.01,0.01,0.01
"XTEITT01BRM156S",0.01,0.01,0.432498013367836,0.01
"EXP3510",0.01,0.01,0.01,0.01
"XTIMVA01BRM657S",0.01,0.01,0.01,0.01
"BRAXTIMVA01NCMLM",0.01,0.01,0.01,0.01
"IMP3510",0.01,0.01,0.01,0.01
"BVSP",0.01,0.01,0.01,0.01
