"","1r","2r","3r","4r"
"NGDPRSAXDCCAQ",NA,NA,NA,NA
"LFEAAGTTCAM647S",NA,NA,NA,NA
"LFEACNTTCAM647S",NA,NA,NA,NA
"LFEAINTTCAM647S",NA,NA,NA,NA
"LFEAICTTCAM647S",NA,NA,NA,NA
"LFEAMNTTCAM647S",NA,NA,NA,NA
"LFEASETTCAM647S",NA,NA,NA,NA
"LFESEETTCAM647S",NA,NA,NA,NA
"CANPERMITMISMEI",NA,NA,NA,NA
"LCEAMN01CAM657S",NA,NA,NA,NA
"CANODMNTO02MLSAM",NA,NA,NA,NA
"PIEAMP02CAM659N",1,NA,1,1
"CANPIEAFD01GPM",NA,NA,NA,NA
"CANPIEAMP01GPM",NA,NA,NA,NA
"PIEAFD01CAM661N",NA,NA,NA,NA
"CANPROMANMISMEI",NA,NA,NA,NA
"CANPRMNTO01GPSAM",NA,NA,NA,NA
"CANSLMNTO02MLSAM",NA,NA,NA,NA
"CANSTMNIS01STM",1,NA,1,1
"LCEAMN06CAM189S",1,NA,1,1
"CANPROCONMISMEI",NA,NA,NA,NA
"CANPRCNTO01GPSAM",NA,NA,NA,NA
"CANPRINTO01GPSAM",NA,NA,NA,NA
"CANCPGRLH01IXOBM",NA,NA,NA,NA
"CANCPGRSE01IXOBM",NA,NA,NA,NA
"LRHUTTTTCAM156S",NA,NA,NA,NA
"LFHUTTTTCAM647S",NA,NA,NA,NA
"NBCABIS",NA,NA,NA,NA
"EXCAUS",NA,NA,NA,NA
"NNCABIS",NA,NA,NA,NA
"CCUSMA02CAM661N",NA,NA,NA,NA
"RBCABIS",NA,NA,NA,NA
"CCRETT01CAM661N",NA,NA,NA,NA
"RNCABIS",NA,NA,NA,NA
"CCUSSP01CAM650N",NA,NA,NA,NA
"CPGRLE01CAM657N",NA,NA,NA,NA
"IR3TCP01CAM156N",NA,NA,NA,NA
"IR3TIB01CAM156N",NA,NA,NA,NA
"IRSTCI01CAM156N",NA,NA,NA,NA
"IRSTCB01CAM156N",NA,1,NA,NA
"IRSTPI01CAM156N",NA,NA,NA,NA
"IRLTLT01CAM156N",1,NA,1,1
"TRESEGCAM052N",NA,NA,NA,NA
"CANLOCOSINOSTSAM",1,NA,1,1
"CANLOCOSIORSTM",NA,NA,NA,NA
"XTEXVA01CAM657S",NA,NA,NA,NA
"CANXTEXVA01CXMLM",NA,NA,NA,NA
"EXPCA",NA,NA,NA,NA
"CAUISA",NA,NA,NA,NA
"IR302NAPT",NA,1,NA,NA
"CANTOT",NA,NA,NA,NA
"CANMANU",1,NA,1,1
"CANNONM",NA,NA,NA,NA
"XTIMVA01CAM657S",NA,NA,NA,NA
"CANXTIMVA01CXMLM",NA,NA,NA,NA
"IMPCA",NA,NA,NA,NA
"GSPTSE",NA,NA,NA,NA
