"","1r","2r","3r","4r"
"NGDPRSAXDCCAQ","Estacionario","Estacionario","Estacionario","Estacionario"
"LFEAAGTTCAM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LFEACNTTCAM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LFEAINTTCAM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LFEAICTTCAM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LFEAMNTTCAM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LFEASETTCAM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LFESEETTCAM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"CANPERMITMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"LCEAMN01CAM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"CANODMNTO02MLSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAMP02CAM659N",NA,"Estacionario",NA,NA
"CANPIEAFD01GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"CANPIEAMP01GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAFD01CAM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"CANPROMANMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"CANPRMNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"CANSLMNTO02MLSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"CANSTMNIS01STM",NA,"Estacionario",NA,NA
"LCEAMN06CAM189S",NA,"Estacionario",NA,NA
"CANPROCONMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"CANPRCNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"CANPRINTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"CANCPGRLH01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"CANCPGRSE01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"LRHUTTTTCAM156S","Estacionario","Estacionario","Estacionario","Estacionario"
"LFHUTTTTCAM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"NBCABIS","Estacionario","Estacionario","Estacionario","Estacionario"
"EXCAUS","Estacionario","Estacionario","Estacionario","Estacionario"
"NNCABIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSMA02CAM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RBCABIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCRETT01CAM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RNCABIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSSP01CAM650N","Estacionario","Estacionario","Estacionario","Estacionario"
"CPGRLE01CAM657N","Estacionario","Estacionario","Estacionario","Estacionario"
"IR3TCP01CAM156N","Estacionario","Estacionario","Estacionario","Estacionario"
"IR3TIB01CAM156N","Estacionario","Estacionario","Estacionario","Estacionario"
"IRSTCI01CAM156N","Estacionario","Estacionario","Estacionario","Estacionario"
"IRSTCB01CAM156N","Estacionario",NA,"Estacionario","Estacionario"
"IRSTPI01CAM156N","Estacionario","Estacionario","Estacionario","Estacionario"
"IRLTLT01CAM156N",NA,"Estacionario",NA,NA
"TRESEGCAM052N","Estacionario","Estacionario","Estacionario","Estacionario"
"CANLOCOSINOSTSAM",NA,"Estacionario",NA,NA
"CANLOCOSIORSTM","Estacionario","Estacionario","Estacionario","Estacionario"
"XTEXVA01CAM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"CANXTEXVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"EXPCA","Estacionario","Estacionario","Estacionario","Estacionario"
"CAUISA","Estacionario","Estacionario","Estacionario","Estacionario"
"IR302NAPT","Estacionario",NA,"Estacionario","Estacionario"
"CANTOT","Estacionario","Estacionario","Estacionario","Estacionario"
"CANMANU",NA,"Estacionario",NA,NA
"CANNONM","Estacionario","Estacionario","Estacionario","Estacionario"
"XTIMVA01CAM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"CANXTIMVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"IMPCA","Estacionario","Estacionario","Estacionario","Estacionario"
"GSPTSE","Estacionario","Estacionario","Estacionario","Estacionario"
