"","1r","2r","3r","4r"
"NGDPRSAXDCCAQ",0.01,0.01,0.01,0.01
"LFEAAGTTCAM647S",0.01,0.01,0.01,0.01
"LFEACNTTCAM647S",0.01,0.01,0.01,0.01
"LFEAINTTCAM647S",0.01,0.01,0.01,0.0103470501167329
"LFEAICTTCAM647S",0.01,0.01,0.01,0.01
"LFEAMNTTCAM647S",0.023872209150398,0.023872209150398,0.0265769651245943,0.0315364289605379
"LFEASETTCAM647S",0.01,0.01,0.01,0.01
"LFESEETTCAM647S",0.01,0.01,0.01,0.01
"CANPERMITMISMEI",0.01,0.01,0.01,0.01
"LCEAMN01CAM657S",0.01,0.01,0.01,0.01
"CANODMNTO02MLSAM",0.01,0.01,0.01,0.01
"PIEAMP02CAM659N",0.01,0.01,0.808101973552263,0.01
"CANPIEAFD01GPM",0.01,0.01,0.01,0.01
"CANPIEAMP01GPM",0.01,0.01,0.01,0.01
"PIEAFD01CAM661N",0.01,0.01,0.01,0.01
"CANPROMANMISMEI",0.01,0.01,0.01,0.01
"CANPRMNTO01GPSAM",0.0150313736949516,0.0150313736949516,0.0162013992781483,0.0168324603728889
"CANSLMNTO02MLSAM",0.01,0.01,0.01,0.01
"CANSTMNIS01STM",0.01,0.01,0.368011022764165,0.01
"LCEAMN06CAM189S",0.01,0.01,0.0579718111765867,0.01
"CANPROCONMISMEI",0.01,0.01,0.01,0.01
"CANPRCNTO01GPSAM",0.01,0.01,0.01,0.01
"CANPRINTO01GPSAM",0.01,0.01,0.01,0.0103739131665302
"CANCPGRLH01IXOBM",0.01,0.01,0.01,0.01
"CANCPGRSE01IXOBM",0.01,0.01,0.01,0.01
"LRHUTTTTCAM156S",0.0442537102787618,0.0442537102787618,0.043659222119388,0.035888154068954
"LFHUTTTTCAM647S",0.01,0.01,0.01,0.01
"NBCABIS",0.01,0.01,0.01,0.01
"EXCAUS",0.01,0.01,0.01,0.01
"NNCABIS",0.01,0.01,0.01,0.01
"CCUSMA02CAM661N",0.01,0.01,0.01,0.01
"RBCABIS",0.01,0.01,0.01,0.01
"CCRETT01CAM661N",0.01,0.01,0.01,0.01
"RNCABIS",0.01,0.01,0.01,0.01
"CCUSSP01CAM650N",0.01,0.01,0.01,0.01
"CPGRLE01CAM657N",0.01,0.01,0.01,0.01
"IR3TCP01CAM156N",0.0347218480766967,0.0347218480766967,0.0421369502495668,0.0408099900649909
"IR3TIB01CAM156N",0.0347218480766967,0.0347218480766967,0.0421369502495668,0.0408099900649909
"IRSTCI01CAM156N",0.0429803187747808,0.0429803187747808,0.0418796190719829,0.0384141224732918
"IRSTCB01CAM156N",0.01,0.0669746108260661,0.01,0.0705163629473521
"IRSTPI01CAM156N",0.0454980593170806,0.0454980593170806,0.0429258683961262,0.0441337262531851
"IRLTLT01CAM156N",0.0267380899275426,0.0267380899275426,0.621090756790753,0.0440855053656306
"TRESEGCAM052N",0.01,0.01,0.01,0.0116479856790537
"CANLOCOSINOSTSAM",0.01,0.01,0.101723017116476,0.01
"CANLOCOSIORSTM",0.0240508409525899,0.0240508409525899,0.0268257745709826,0.0118925028293548
"XTEXVA01CAM657S",0.01,0.01,0.01,0.01
"CANXTEXVA01CXMLM",0.01,0.01,0.01,0.01
"EXPCA",0.01,0.01,0.01,0.01
"CAUISA",0.01,0.01,0.01,0.01
"IR302NAPT",0.01,0.0545407031254834,0.01,0.078754671161938
"CANTOT",0.0196426827295437,0.0196426827295437,0.0206337815726201,0.0218501852259239
"CANMANU",0.01,0.01,0.210892040205561,0.01
"CANNONM",0.01,0.01,0.01,0.01
"XTIMVA01CAM657S",0.01,0.01,0.01,0.01
"CANXTIMVA01CXMLM",0.01,0.01,0.01,0.01
"IMPCA",0.01,0.01,0.01,0.01
"GSPTSE",0.01,0.01,0.01,0.01
