"","1r","2r","3r","4r"
"CHNGDPNQDSMEI",NA,NA,NA,NA
"CHNPRCNTO01MLM",NA,NA,NA,NA
"CHNPRENEL01MLM",NA,NA,NA,NA
"CHNPRINTO01IXPYM",NA,NA,NA,NA
"NBCNBIS",NA,NA,NA,NA
"EXCHUS",NA,NA,NA,NA
"CCUSMA02CNM618N",NA,NA,NA,NA
"CCUSSP02CNM650N",NA,NA,NA,NA
"RBCNBIS",NA,NA,1,1
"CCRETT01CNM661N",NA,NA,NA,NA
"INTDSRCNM193N",1,NA,1,1
"TRESEGCNM052N",1,NA,1,1
"TRESEGTWM194N",NA,NA,NA,NA
"XTEXVA01CNM657S",NA,NA,NA,NA
"CHNXTEXVA01NCMLM",NA,NA,NA,NA
"XTEITT01CNM156S",1,NA,1,1
"EXPCH",NA,NA,NA,NA
"XTIMVA01CNM657S",NA,NA,NA,NA
"CHNXTIMVA01NCMLM",NA,NA,NA,NA
"IMPCH",NA,NA,NA,NA
"HSI",NA,NA,NA,NA
"X000001.SS",NA,NA,NA,NA
