"","1r","2r","3r","4r"
"CHNGDPNQDSMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"CHNPRCNTO01MLM","Estacionario","Estacionario","Estacionario","Estacionario"
"CHNPRENEL01MLM","Estacionario","Estacionario","Estacionario","Estacionario"
"CHNPRINTO01IXPYM","Estacionario","Estacionario","Estacionario","Estacionario"
"NBCNBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"EXCHUS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSMA02CNM618N","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSSP02CNM650N","Estacionario","Estacionario","Estacionario","Estacionario"
"RBCNBIS","Estacionario","Estacionario",NA,NA
"CCRETT01CNM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"INTDSRCNM193N",NA,"Estacionario",NA,NA
"TRESEGCNM052N",NA,"Estacionario",NA,NA
"TRESEGTWM194N","Estacionario","Estacionario","Estacionario","Estacionario"
"XTEXVA01CNM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"CHNXTEXVA01NCMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"XTEITT01CNM156S",NA,"Estacionario",NA,NA
"EXPCH","Estacionario","Estacionario","Estacionario","Estacionario"
"XTIMVA01CNM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"CHNXTIMVA01NCMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"IMPCH","Estacionario","Estacionario","Estacionario","Estacionario"
"HSI","Estacionario","Estacionario","Estacionario","Estacionario"
"X000001.SS","Estacionario","Estacionario","Estacionario","Estacionario"
