"","1r","2r","3r","4r"
"CHNGDPNQDSMEI",0.01,0.01,0.01,0.01
"CHNPRCNTO01MLM",0.01,0.01,0.01,0.01
"CHNPRENEL01MLM",0.01,0.01,0.0106714073830179,0.0119968274514862
"CHNPRINTO01IXPYM",0.01,0.01,0.01,0.01
"NBCNBIS",0.0272722298644717,0.0272722298644717,0.0268250697256234,0.0276082675693094
"EXCHUS",0.0175356823073534,0.0175356823073534,0.018206643605025,0.0187476147434531
"CCUSMA02CNM618N",0.015056386055563,0.015056386055563,0.0157598404804343,0.0162854435410251
"CCUSSP02CNM650N",0.01,0.01,0.01,0.01
"RBCNBIS",0.0477880984616988,0.0477880984616988,0.0656380127582222,0.01
"CCRETT01CNM661N",0.01,0.01,0.01,0.01
"INTDSRCNM193N",0.01,0.01,0.249136974918358,0.01
"TRESEGCNM052N",0.01,0.01,0.0662361842037007,0.01
"TRESEGTWM194N",0.01,0.01,0.01,0.01
"XTEXVA01CNM657S",0.0232128829823905,0.0232128829823905,0.0293133835361546,0.0376469421320111
"CHNXTEXVA01NCMLM",0.01,0.01,0.01,0.01
"XTEITT01CNM156S",0.01,0.01,0.345508159760134,0.01
"EXPCH",0.01,0.01,0.01,0.01
"XTIMVA01CNM657S",0.01,0.01,0.01,0.01
"CHNXTIMVA01NCMLM",0.0138427168883402,0.0138427168883402,0.0136227771003319,0.0133217766360402
"IMPCH",0.01,0.01,0.01,0.01
"HSI",0.01,0.01,0.01,0.01
"X000001.SS",0.01,0.01,0.01,0.01
