"","1r","2r","3r","4r"
"CPMNACSCAB1GQDK",NA,NA,NA,NA
"DNKBRODFT02STSAM",1,NA,1,1
"BCEMFT02DKM460S",1,NA,1,1
"BSEMFT02DKM460S",NA,NA,NA,NA
"CP0410DKM086NEST",NA,NA,NA,NA
"CP0400DKM086NEST",NA,NA,NA,NA
"CP0430DKM086NEST",NA,NA,NA,NA
"CP0431DKM086NEST",1,NA,1,1
"CP0444DKM086NEST",NA,NA,NA,NA
"X00XHOUDKM086NEST",NA,NA,NA,NA
"CP0432DKM086NEST",NA,NA,NA,NA
"SERVHODKM086NEST",NA,NA,NA,NA
"CP0550DKM086NEST",NA,NA,NA,NA
"CP0440DKM086NEST",NA,NA,NA,NA
"BSCICP02DKM460S",NA,NA,NA,NA
"BSCICP03DKM665S",NA,NA,NA,NA
"BSFGLV02DKM460S",NA,NA,NA,NA
"BSOBLV02DKM460S",1,NA,1,1
"BSPRFT02DKM460S",NA,NA,NA,NA
"BSPRTE02DKM460S",NA,NA,NA,NA
"BSSPFT02DKM460S",1,NA,1,1
"DNKPPDMMINMEI",1,NA,1,1
"PIEAMP02DKM659N",1,1,NA,NA
"DNKPIEAMP02GPM",1,NA,1,1
"DNKPIEAMP01GPM",1,NA,1,1
"PIEAMP01DKM661N",NA,NA,NA,NA
"DNKPROMANMISMEI",NA,NA,NA,NA
"DNKPRMNCG02IXOBSAM",NA,NA,NA,NA
"DNKPRMNCG03IXOBSAM",NA,NA,NA,NA
"DNKPRMNIG01IXOBSAM",NA,NA,NA,NA
"DNKPRMNVG01IXOBSAM",NA,NA,NA,NA
"DNKPRMNTO01GPSAM",NA,NA,NA,NA
"DNKLOCOBPNOSTSAM",NA,NA,NA,NA
"DNKLOCOBPORSTSAM",NA,NA,NA,NA
"DNKPRINTO01GPSAM",NA,NA,NA,NA
"DNKPRMITO01IXOBSAM",NA,NA,NA,NA
"DNKCPHP1200GPM",NA,NA,NA,NA
"DNKCPHPSE01IXOBM",NA,NA,NA,NA
"DNKCPGRLH01IXOBM",NA,NA,NA,NA
"CP1120DKM086NEST",NA,NA,NA,NA
"CP1260DKM086NEST",1,NA,1,1
"CP0621DKM086NEST",NA,NA,NA,NA
"CP1200DKM086NEST",NA,NA,NA,NA
"SERVCODKM086NEST",NA,NA,NA,NA
"SERVTRDKM086NEST",NA,NA,NA,NA
"SERVMIDKM086NEST",NA,NA,NA,NA
"CP0730DKM086NEST",1,NA,1,1
"LRHUTTTTDKM156S",1,NA,1,1
"LFHUTTTTDKM647S",NA,NA,NA,NA
"LFHUTTFEDKM647S",NA,NA,NA,NA
"LFHUTTMADKM647S",1,NA,1,1
"NBDKBIS",NA,NA,NA,NA
"EXDNUS",NA,NA,NA,NA
"NNDKBIS",NA,NA,NA,NA
"CCUSMA02DKM661N",NA,NA,NA,NA
"RBDKBIS",NA,NA,NA,NA
"CCRETT01DKM661N",NA,NA,NA,NA
"RNDKBIS",NA,NA,NA,NA
"CCUSSP01DKM650N",NA,NA,NA,NA
"CSINFT02DKM460S",NA,NA,NA,NA
"CPGRLE01DKM657N",NA,NA,NA,NA
"IR3TIB01DKM156N",1,NA,1,1
"IRSTCI01DKM156N",1,NA,1,1
"IRSTCB01DKM156N",1,NA,1,1
"IRLTLT01DKM156N",1,NA,1,1
"BSXRLV02DKM086S",NA,NA,NA,NA
"XTEXVA01DKM657S",NA,NA,NA,NA
"DNKXTEXVA01CXMLM",NA,NA,NA,NA
"DNKLOCOXGNOSTSAM",NA,NA,NA,NA
"EXP4099",NA,NA,NA,NA
"XTIMVA01DKM657S",NA,NA,NA,NA
"DNKXTIMVA01CXMLM",NA,NA,NA,NA
"IMP4099",NA,NA,NA,NA
"denmark_OMX",NA,NA,NA,NA
