"","1r","2r","3r","4r"
"CPMNACSCAB1GQDK","Estacionario","Estacionario","Estacionario","Estacionario"
"DNKBRODFT02STSAM",NA,"Estacionario",NA,NA
"BCEMFT02DKM460S",NA,"Estacionario",NA,NA
"BSEMFT02DKM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0410DKM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0400DKM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0430DKM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0431DKM086NEST",NA,"Estacionario",NA,NA
"CP0444DKM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"X00XHOUDKM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0432DKM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVHODKM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0550DKM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0440DKM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP02DKM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP03DKM665S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSFGLV02DKM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSOBLV02DKM460S",NA,"Estacionario",NA,NA
"BSPRFT02DKM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSPRTE02DKM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSSPFT02DKM460S",NA,"Estacionario",NA,NA
"DNKPPDMMINMEI",NA,"Estacionario",NA,NA
"PIEAMP02DKM659N",NA,NA,"Estacionario","Estacionario"
"DNKPIEAMP02GPM",NA,"Estacionario",NA,NA
"DNKPIEAMP01GPM",NA,"Estacionario",NA,NA
"PIEAMP01DKM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"DNKPROMANMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"DNKPRMNCG02IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"DNKPRMNCG03IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"DNKPRMNIG01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"DNKPRMNVG01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"DNKPRMNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"DNKLOCOBPNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"DNKLOCOBPORSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"DNKPRINTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"DNKPRMITO01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"DNKCPHP1200GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"DNKCPHPSE01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"DNKCPGRLH01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1120DKM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1260DKM086NEST",NA,"Estacionario",NA,NA
"CP0621DKM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1200DKM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVCODKM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVTRDKM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVMIDKM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0730DKM086NEST",NA,"Estacionario",NA,NA
"LRHUTTTTDKM156S",NA,"Estacionario",NA,NA
"LFHUTTTTDKM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LFHUTTFEDKM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LFHUTTMADKM647S",NA,"Estacionario",NA,NA
"NBDKBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"EXDNUS","Estacionario","Estacionario","Estacionario","Estacionario"
"NNDKBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSMA02DKM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RBDKBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCRETT01DKM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RNDKBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSSP01DKM650N","Estacionario","Estacionario","Estacionario","Estacionario"
"CSINFT02DKM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"CPGRLE01DKM657N","Estacionario","Estacionario","Estacionario","Estacionario"
"IR3TIB01DKM156N",NA,"Estacionario",NA,NA
"IRSTCI01DKM156N",NA,"Estacionario",NA,NA
"IRSTCB01DKM156N",NA,"Estacionario",NA,NA
"IRLTLT01DKM156N",NA,"Estacionario",NA,NA
"BSXRLV02DKM086S","Estacionario","Estacionario","Estacionario","Estacionario"
"XTEXVA01DKM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"DNKXTEXVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"DNKLOCOXGNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"EXP4099","Estacionario","Estacionario","Estacionario","Estacionario"
"XTIMVA01DKM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"DNKXTIMVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"IMP4099","Estacionario","Estacionario","Estacionario","Estacionario"
"denmark_OMX","Estacionario","Estacionario","Estacionario","Estacionario"
