"","1r","2r","3r","4r"
"CPMNACSCAB1GQDK",0.0273243933499366,0.0273243933499366,0.028199138172014,0.029968992252589
"DNKBRODFT02STSAM",0.01,0.01,0.118885196622739,0.01
"BCEMFT02DKM460S",0.0242784054503113,0.0242784054503113,0.271144897663947,0.0260703915387142
"BSEMFT02DKM460S",0.0229687755656657,0.0229687755656657,0.0286815090961169,0.0250909971843698
"CP0410DKM086NEST",0.01,0.01,0.01,0.01
"CP0400DKM086NEST",0.01,0.01,0.01,0.01
"CP0430DKM086NEST",0.01,0.01,0.01,0.01
"CP0431DKM086NEST",0.0104042816175172,0.0104042816175172,0.566029973179404,0.0135098047288939
"CP0444DKM086NEST",0.0471272184337458,0.0471272184337458,0.0480632533561916,0.0499559134101177
"X00XHOUDKM086NEST",0.0172476819737488,0.0172476819737488,0.0185108524069631,0.0197663687386185
"CP0432DKM086NEST",0.01,0.01,0.01,0.0124202019486162
"SERVHODKM086NEST",0.01,0.01,0.01,0.01
"CP0550DKM086NEST",0.018067955118477,0.018067955118477,0.0195993343566843,0.0207165993514194
"CP0440DKM086NEST",0.01,0.01,0.01,0.01
"BSCICP02DKM460S",0.0266160504438003,0.0266160504438003,0.0252571784328144,0.0423818425972523
"BSCICP03DKM665S",0.01,0.01,0.01,0.01
"BSFGLV02DKM460S",0.022730042997039,0.022730042997039,0.0246706715426641,0.0264932880355362
"BSOBLV02DKM460S",0.01,0.01,0.161394146461543,0.01
"BSPRFT02DKM460S",0.0172871446569826,0.0172871446569826,0.0170191853585824,0.0217948968567569
"BSPRTE02DKM460S",0.0415311695791809,0.0415311695791809,0.0412407372913944,0.0484754350475875
"BSSPFT02DKM460S",0.01,0.01,0.129852444842967,0.01
"DNKPPDMMINMEI",0.01,0.01,0.271887783568321,0.01
"PIEAMP02DKM659N",0.01,0.0630047501380169,0.01,0.737824812964193
"DNKPIEAMP02GPM",0.01,0.01,0.0801310326968643,0.01
"DNKPIEAMP01GPM",0.0239464817942637,0.01,0.229545610121584,0.01
"PIEAMP01DKM661N",0.01,0.0239464817942637,0.0324955394057691,0.0388770071344225
"DNKPROMANMISMEI",0.01,0.01,0.01,0.01
"DNKPRMNCG02IXOBSAM",0.0126105762793633,0.01,0.01,0.01
"DNKPRMNCG03IXOBSAM",0.01,0.0126105762793633,0.01,0.01
"DNKPRMNIG01IXOBSAM",0.01,0.01,0.01,0.01
"DNKPRMNVG01IXOBSAM",0.01,0.01,0.01,0.01
"DNKPRMNTO01GPSAM",0.01,0.01,0.01,0.01
"DNKLOCOBPNOSTSAM",0.01,0.01,0.01,0.01
"DNKLOCOBPORSTSAM",0.0149384643107408,0.01,0.01,0.01
"DNKPRINTO01GPSAM",0.01,0.0149384643107408,0.0135528243959404,0.0134367369648603
"DNKPRMITO01IXOBSAM",0.01,0.01,0.01,0.01
"DNKCPHP1200GPM",0.01,0.01,0.01,0.01
"DNKCPHPSE01IXOBM",0.01,0.01,0.01,0.01
"DNKCPGRLH01IXOBM",0.01,0.01,0.01,0.01
