"","1r","2r","3r","4r"
"CPMNACSCAB1GQFR",NA,NA,NA,NA
"FRABRODFT02STSAM",NA,NA,NA,NA
"BCEMFT02FRM460S",1,1,NA,NA
"BSEMFT02FRM460S",NA,NA,NA,NA
"BVEMFT02FRM460S",NA,NA,NA,NA
"BVEMTE02FRM460S",NA,NA,NA,NA
"CP0410FRM086NEST",NA,NA,NA,NA
"CP0500FRM086NEST",NA,NA,NA,NA
"CP0400FRM086NEST",1,NA,1,1
"CP1252FRM086NEST",NA,NA,NA,NA
"CP0430FRM086NEST",NA,NA,NA,NA
"CP0431FRM086NEST",NA,NA,NA,NA
"CP0444FRM086NEST",NA,NA,NA,NA
"X00XHOUFRM086NEST",NA,NA,NA,NA
"CP0432FRM086NEST",NA,NA,NA,NA
"SERVHOFRM086NEST",NA,NA,NA,NA
"CP0550FRM086NEST",1,NA,1,1
"CP0440FRM086NEST",NA,NA,NA,NA
"FRAPERMITMISMEI",NA,NA,NA,NA
"BSCICP02FRM460S",NA,NA,NA,NA
"BSCICP03FRM665S",NA,NA,NA,NA
"BSFGLV02FRM460S",NA,NA,NA,NA
"BSOBLV02FRM460S",NA,NA,1,1
"BSPRFT02FRM460S",NA,NA,NA,NA
"BSPRTE02FRM460S",NA,NA,NA,NA
"BSSPFT02FRM460S",1,NA,1,1
"FRAPPDMMINMEI",NA,NA,NA,NA
"PIEAFD02FRM661N",NA,NA,NA,NA
"PIEAMP02FRM659N",1,NA,1,1
"FRAPIEAFD02GPM",NA,NA,NA,NA
"FRAPIEAFD01GPM",NA,NA,NA,NA
"FRAPIEAMP02GPM",1,NA,1,1
"FRAPIEAMP01GPM",1,NA,1,1
"PIEAFD01FRM661N",NA,NA,NA,NA
"PIEAMP01FRM661N",1,NA,1,1
"FRAPROMANMISMEI",NA,NA,NA,NA
"FRAPRMNTO01GPSAM",NA,NA,NA,NA
"CP0611FRM086NEST",NA,NA,NA,NA
"FRALOCOBPNOSTSAM",NA,NA,NA,NA
"FRALOCOBPORSTSAM",NA,NA,NA,NA
"FRAPROCONMISMEI",NA,NA,NA,NA
"FRAPRCNTO01GPSAM",NA,NA,NA,NA
"FRAPREND401IXOBSAM",NA,NA,NA,NA
"FRAPRINTO01GPSAM",NA,NA,NA,NA
"BVCICP02FRM460S",NA,NA,NA,NA
"BVDEFT02FRM460S",NA,NA,1,1
"BVDETE02FRM460S",NA,NA,NA,NA
"FRACPHP1200GPM",NA,NA,NA,NA
"FRACPHPSE01IXOBM",1,NA,NA,NA
"FRACP040400IXOBM",NA,NA,NA,NA
"FRACP120000GPM",NA,NA,NA,NA
"FRACPGRLH02IXOBM",NA,1,NA,NA
"FRACPGRSE01IXOBM",1,NA,1,1
"CP1120FRM086NEST",NA,NA,NA,NA
"CP0562FRM086NEST",NA,1,NA,NA
"CP1260FRM086NEST",NA,NA,NA,NA
"CP0621FRM086NEST",NA,NA,NA,NA
"CP1200FRM086NEST",NA,NA,NA,NA
"SERVCOFRM086NEST",NA,1,NA,NA
"SERVRPFRM086NEST",NA,NA,NA,NA
"SERVTRFRM086NEST",NA,NA,NA,NA
"SERVMIFRM086NEST",NA,NA,NA,NA
"CP0730FRM086NEST",NA,NA,NA,NA
"LRHUTTTTFRM156S",1,NA,1,1
"LMUNRLTTFRM647S",NA,NA,NA,NA
"LFHUTTTTFRM647S",NA,NA,NA,NA
"NBFRBIS",NA,NA,NA,NA
"NNFRBIS",NA,NA,NA,NA
"CCUSMA02FRM661N",NA,NA,NA,NA
"RBFRBIS",1,NA,1,1
"CCRETT01FRM661N",NA,NA,NA,NA
"RNFRBIS",NA,NA,NA,NA
"CCUSSP01FRM650N",NA,NA,NA,NA
"CSINFT02FRM460S",1,NA,1,1
"FRACPHPLA01IXOBM",NA,NA,NA,NA
"CPGRLE01FRM657N",NA,NA,NA,NA
"IR3TIB01FRM156N",1,NA,1,1
"IRSTCI01FRM156N",1,NA,1,1
"IRLTLT01FRM156N",1,NA,1,1
"TRESEGFRM052N",NA,NA,NA,NA
"BSXRLV02FRM086S",NA,NA,NA,NA
"XTEXVA01FRM657S",NA,NA,NA,NA
"FRAXTEXVA01CXMLM",NA,NA,NA,NA
"FRALOCOBXNOSTSAM",NA,NA,NA,NA
"FRALOCOBXORSTSAM",NA,NA,1,1
"EXPFR",NA,NA,NA,NA
"XTIMVA01FRM657S",NA,NA,NA,NA
"FRAXTIMVA01CXMLM",NA,NA,NA,NA
"IMPFR",NA,NA,NA,NA
"FCHI",NA,NA,NA,NA
