"","1r","2r","3r","4r"
"CPMNACSCAB1GQFR","Estacionario","Estacionario","Estacionario","Estacionario"
"FRABRODFT02STSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BCEMFT02FRM460S",NA,NA,"Estacionario","Estacionario"
"BSEMFT02FRM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BVEMFT02FRM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BVEMTE02FRM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0410FRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0500FRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0400FRM086NEST",NA,"Estacionario",NA,NA
"CP1252FRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0430FRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0431FRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0444FRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"X00XHOUFRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0432FRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVHOFRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0550FRM086NEST",NA,"Estacionario",NA,NA
"CP0440FRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"FRAPERMITMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP02FRM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP03FRM665S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSFGLV02FRM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSOBLV02FRM460S","Estacionario","Estacionario",NA,NA
"BSPRFT02FRM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSPRTE02FRM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSSPFT02FRM460S",NA,"Estacionario",NA,NA
"FRAPPDMMINMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAFD02FRM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAMP02FRM659N",NA,"Estacionario",NA,NA
"FRAPIEAFD02GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"FRAPIEAFD01GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"FRAPIEAMP02GPM",NA,"Estacionario",NA,NA
"FRAPIEAMP01GPM",NA,"Estacionario",NA,NA
"PIEAFD01FRM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAMP01FRM661N",NA,"Estacionario",NA,NA
"FRAPROMANMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"FRAPRMNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0611FRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"FRALOCOBPNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"FRALOCOBPORSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"FRAPROCONMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"FRAPRCNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"FRAPREND401IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"FRAPRINTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BVCICP02FRM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BVDEFT02FRM460S","Estacionario","Estacionario",NA,NA
"BVDETE02FRM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"FRACPHP1200GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"FRACPHPSE01IXOBM",NA,"Estacionario","Estacionario","Estacionario"
"FRACP040400IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"FRACP120000GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"FRACPGRLH02IXOBM","Estacionario",NA,"Estacionario","Estacionario"
"FRACPGRSE01IXOBM",NA,"Estacionario",NA,NA
"CP1120FRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0562FRM086NEST","Estacionario",NA,"Estacionario","Estacionario"
"CP1260FRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0621FRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1200FRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVCOFRM086NEST","Estacionario",NA,"Estacionario","Estacionario"
"SERVRPFRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVTRFRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVMIFRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0730FRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"LRHUTTTTFRM156S",NA,"Estacionario",NA,NA
"LMUNRLTTFRM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LFHUTTTTFRM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"NBFRBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"NNFRBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSMA02FRM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RBFRBIS",NA,"Estacionario",NA,NA
"CCRETT01FRM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RNFRBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSSP01FRM650N","Estacionario","Estacionario","Estacionario","Estacionario"
"CSINFT02FRM460S",NA,"Estacionario",NA,NA
"FRACPHPLA01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"CPGRLE01FRM657N","Estacionario","Estacionario","Estacionario","Estacionario"
"IR3TIB01FRM156N",NA,"Estacionario",NA,NA
"IRSTCI01FRM156N",NA,"Estacionario",NA,NA
"IRLTLT01FRM156N",NA,"Estacionario",NA,NA
"TRESEGFRM052N","Estacionario","Estacionario","Estacionario","Estacionario"
"BSXRLV02FRM086S","Estacionario","Estacionario","Estacionario","Estacionario"
"XTEXVA01FRM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"FRAXTEXVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"FRALOCOBXNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"FRALOCOBXORSTSAM","Estacionario","Estacionario",NA,NA
"EXPFR","Estacionario","Estacionario","Estacionario","Estacionario"
"XTIMVA01FRM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"FRAXTIMVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"IMPFR","Estacionario","Estacionario","Estacionario","Estacionario"
"FCHI","Estacionario","Estacionario","Estacionario","Estacionario"
