"","1r","2r","3r","4r"
"CPMNACSCAB1GQDE",NA,NA,NA,NA
"DEUBRODFT02STSAM",NA,NA,NA,NA
"DEULOCOBDNOSTSAM",NA,NA,NA,NA
"DEULOCOBDORSTSAM",NA,NA,NA,NA
"BCEMFT02DEM460S",1,NA,1,1
"BSEMFT02DEM460S",NA,NA,NA,NA
"BVEMTE02DEM460S",1,NA,NA,NA
"CP0410DEM086NEST",NA,NA,NA,NA
"CP0400DEM086NEST",NA,NA,NA,NA
"CP0430DEM086NEST",NA,NA,NA,NA
"CP0431DEM086NEST",NA,NA,NA,NA
"CP0444DEM086NEST",NA,NA,NA,NA
"X00XHOUDEM086NEST",NA,NA,NA,NA
"SERVHODEM086NEST",NA,NA,NA,NA
"DEUPERMITMISMEI",NA,NA,NA,NA
"DEUBSBUCT02STSAM",NA,NA,NA,NA
"BSCICP02DEM460S",NA,NA,NA,NA
"BSCICP03DEM665S",NA,NA,NA,NA
"BSFGLV02DEM460S",NA,NA,NA,NA
"BSOBLV02DEM460S",NA,NA,NA,NA
"BSOITE02DEM460S",NA,NA,NA,NA
"BSPRFT02DEM460S",NA,NA,NA,NA
"BSPRTE02DEM460S",NA,NA,NA,NA
"BSSPFT02DEM460S",1,NA,1,1
"DEUPPDMMINMEI",NA,NA,NA,NA
"DEUODMNTO01IXOBSAM",NA,NA,NA,NA
"PIEAFD02DEM661N",1,1,NA,NA
"PIEAMP02DEM659N",1,1,NA,NA
"DEUPIEAFD02GPM",1,NA,1,1
"DEUPIEAFD01GPM",1,NA,1,1
"DEUPIEAMP02GPM",NA,NA,1,1
"DEUPIEAMP01GPM",1,NA,1,1
"PIEAFD01DEM661N",1,1,NA,NA
"PIEAMP01DEM661N",NA,NA,NA,NA
"DEUPROMANMISMEI",NA,NA,NA,NA
"DEUPRMNCG02IXOBSAM",NA,NA,NA,NA
"DEUPRMNCG03IXOBSAM",NA,NA,NA,NA
"DEUPRMNIG01IXOBSAM",NA,NA,NA,NA
"DEUPRMNVG01IXOBSAM",NA,NA,NA,NA
"DEUPRMNTO01GPSAM",NA,NA,NA,NA
"CP0611DEM086NEST",NA,NA,NA,NA
"DEUPROCONMISMEI",NA,NA,NA,NA
"DEUPRCNTO01GPSAM",NA,NA,NA,NA
"DEUPREND401IXOBSAM",NA,NA,NA,NA
"DEUPRINTO01GPSAM",NA,NA,NA,NA
"BVCICP02DEM460S",NA,NA,NA,NA
"BVDEFT02DEM460S",NA,NA,NA,NA
"BVDETE02DEM460S",NA,NA,NA,NA
"DEUCPHP1200GPM",NA,NA,NA,NA
"DEUCPHPSE01IXOBM",NA,NA,NA,NA
"DEUCP040400IXOBM",NA,NA,NA,NA
"DEUCP120000GPM",NA,NA,NA,NA
"CP1120DEM086NEST",NA,NA,NA,NA
"CP1260DEM086NEST",1,NA,1,1
"CP0621DEM086NEST",NA,NA,NA,NA
"CP1200DEM086NEST",NA,NA,NA,NA
"SERVCODEM086NEST",NA,NA,NA,NA
"SERVTRDEM086NEST",NA,NA,NA,NA
"SERVMIDEM086NEST",NA,NA,NA,NA
"CP0730DEM086NEST",NA,NA,NA,NA
"LRHUTTTTDEM156S",1,1,NA,NA
"LMUNRLTTDEM647S",NA,NA,NA,NA
"LMUNRRTTDEM156S",1,NA,1,1
"LFHUTTTTDEM647S",1,NA,1,1
"NBDEBIS",NA,NA,NA,NA
"NNDEBIS",NA,NA,NA,NA
"CCUSMA02DEM661N",NA,NA,NA,NA
"RBDEBIS",1,NA,1,1
"CCRETT01DEM661N",NA,NA,NA,NA
"RNDEBIS",NA,NA,NA,NA
"CCUSSP01DEM650N",NA,NA,NA,NA
"CSINFT02DEM460S",1,NA,NA,NA
"DEUCPHPLA01IXOBM",NA,NA,NA,NA
"CPGRLE01DEM657N",NA,NA,NA,NA
"IR3TIB01DEM156N",NA,NA,1,1
"IRSTCI01DEM156N",1,NA,1,1
"IRLTLT01DEM156N",1,1,NA,NA
"IRLTCT01DEM156N",1,1,NA,NA
"TRESEGDEM052N",1,NA,1,1
"DEULOCOSINOSTSAM",NA,NA,NA,NA
"DEULOCOSIORSTM",1,NA,1,1
"BSXRLV02DEM086S",NA,NA,NA,NA
"XTEXVA01DEM657S",NA,NA,NA,NA
"DEUXTEXVA01CXMLM",NA,NA,NA,NA
"DEULOCOBXNOSTSAM",NA,NA,NA,NA
"DEULOCOBXORSTSAM",NA,NA,NA,NA
"EXPGE",NA,NA,NA,NA
"XTIMVA01DEM657S",NA,NA,NA,NA
"DEUXTIMVA01CXMLM",NA,NA,NA,NA
"IMPGE",NA,NA,NA,NA
