"","1r","2r","3r","4r"
"CPMNACSCAB1GQDE","Estacionario","Estacionario","Estacionario","Estacionario"
"DEUBRODFT02STSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"DEULOCOBDNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"DEULOCOBDORSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BCEMFT02DEM460S",NA,"Estacionario",NA,NA
"BSEMFT02DEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BVEMTE02DEM460S",NA,"Estacionario","Estacionario","Estacionario"
"CP0410DEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0400DEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0430DEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0431DEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0444DEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"X00XHOUDEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVHODEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"DEUPERMITMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"DEUBSBUCT02STSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP02DEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP03DEM665S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSFGLV02DEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSOBLV02DEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSOITE02DEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSPRFT02DEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSPRTE02DEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSSPFT02DEM460S",NA,"Estacionario",NA,NA
"DEUPPDMMINMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"DEUODMNTO01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAFD02DEM661N",NA,NA,"Estacionario","Estacionario"
"PIEAMP02DEM659N",NA,NA,"Estacionario","Estacionario"
"DEUPIEAFD02GPM",NA,"Estacionario",NA,NA
"DEUPIEAFD01GPM",NA,"Estacionario",NA,NA
"DEUPIEAMP02GPM","Estacionario","Estacionario",NA,NA
"DEUPIEAMP01GPM",NA,"Estacionario",NA,NA
"PIEAFD01DEM661N",NA,NA,"Estacionario","Estacionario"
"PIEAMP01DEM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"DEUPROMANMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"DEUPRMNCG02IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"DEUPRMNCG03IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"DEUPRMNIG01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"DEUPRMNVG01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"DEUPRMNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0611DEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"DEUPROCONMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"DEUPRCNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"DEUPREND401IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"DEUPRINTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BVCICP02DEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BVDEFT02DEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BVDETE02DEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"DEUCPHP1200GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"DEUCPHPSE01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"DEUCP040400IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"DEUCP120000GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1120DEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1260DEM086NEST",NA,"Estacionario",NA,NA
"CP0621DEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1200DEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVCODEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVTRDEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVMIDEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0730DEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"LRHUTTTTDEM156S",NA,NA,"Estacionario","Estacionario"
"LMUNRLTTDEM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LMUNRRTTDEM156S",NA,"Estacionario",NA,NA
"LFHUTTTTDEM647S",NA,"Estacionario",NA,NA
"NBDEBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"NNDEBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSMA02DEM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RBDEBIS",NA,"Estacionario",NA,NA
"CCRETT01DEM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RNDEBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSSP01DEM650N","Estacionario","Estacionario","Estacionario","Estacionario"
"CSINFT02DEM460S",NA,"Estacionario","Estacionario","Estacionario"
"DEUCPHPLA01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"CPGRLE01DEM657N","Estacionario","Estacionario","Estacionario","Estacionario"
"IR3TIB01DEM156N","Estacionario","Estacionario",NA,NA
"IRSTCI01DEM156N",NA,"Estacionario",NA,NA
"IRLTLT01DEM156N",NA,NA,"Estacionario","Estacionario"
"IRLTCT01DEM156N",NA,NA,"Estacionario","Estacionario"
"TRESEGDEM052N",NA,"Estacionario",NA,NA
"DEULOCOSINOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"DEULOCOSIORSTM",NA,"Estacionario",NA,NA
"BSXRLV02DEM086S","Estacionario","Estacionario","Estacionario","Estacionario"
"XTEXVA01DEM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"DEUXTEXVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"DEULOCOBXNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"DEULOCOBXORSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"EXPGE","Estacionario","Estacionario","Estacionario","Estacionario"
"XTIMVA01DEM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"DEUXTIMVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"IMPGE","Estacionario","Estacionario","Estacionario","Estacionario"
