"","1r","2r","3r","4r"
"CPMNACSCAB1GQDE",0.01,0.01,0.01,0.01
"DEUBRODFT02STSAM",0.01,0.01,0.01,0.01
"DEULOCOBDNOSTSAM",0.01,0.01,0.01,0.01
"DEULOCOBDORSTSAM",0.01,0.01,0.01,0.01
"BCEMFT02DEM460S",0.0104629475815238,0.0104629475815238,0.288100706918185,0.0106741618883279
"BSEMFT02DEM460S",0.01,0.01,0.01,0.01
"BVEMTE02DEM460S",0.01,0.01,0.0332348894691331,0.0403054029586616
"CP0410DEM086NEST",0.01,0.01,0.01,0.01
"CP0400DEM086NEST",0.01,0.01,0.01,0.010684125641626
"CP0430DEM086NEST",0.01,0.01,0.01,0.01
"CP0431DEM086NEST",0.01,0.01,0.01,0.01
"CP0444DEM086NEST",0.01,0.01,0.01,0.01
"X00XHOUDEM086NEST",0.0122044837694593,0.0122044837694593,0.0135663529238673,0.0150146433733003
"SERVHODEM086NEST",0.0145602683023921,0.0145602683023921,0.0147865266340645,0.0173430382676958
"DEUPERMITMISMEI",0.01,0.01,0.01,0.01
"DEUBSBUCT02STSAM",0.0246458935376245,0.0246458935376245,0.0264525804877912,0.0271795346034829
"BSCICP02DEM460S",0.01,0.01,0.01,0.01
"BSCICP03DEM665S",0.01,0.01,0.01,0.01
"BSFGLV02DEM460S",0.01,0.01,0.01,0.01
"BSOBLV02DEM460S",0.01,0.01,0.01,0.01
"BSOITE02DEM460S",0.01,0.01,0.01,0.01
"BSPRFT02DEM460S",0.01,0.01,0.01,0.01
"BSPRTE02DEM460S",0.01,0.01,0.01,0.01
"BSSPFT02DEM460S",0.01,0.01,0.412124890822599,0.01
"DEUPPDMMINMEI",0.01,0.01,0.01,0.01
"DEUODMNTO01IXOBSAM",0.01,0.01,0.01,0.01
"PIEAFD02DEM661N",0.01,0.260765292018814,0.01,0.884480573345551
"PIEAMP02DEM659N",0.0112944842094272,0.632348437601999,0.01,0.99
"DEUPIEAFD02GPM",0.0490706475234401,0.01,0.172549827129862,0.01
"DEUPIEAFD01GPM",0.01,0.0112944842094272,0.353114004063531,0.015046362747283
"DEUPIEAMP02GPM",0.01,0.0490706475234401,0.0544425508670136,0.01
