"","1r","2r","3r","4r"
"INDGDPNQDSMEI",NA,NA,NA,NA
"INDPRMNCG02IXOBSAM",NA,NA,NA,NA
"INDPRMNTO01IXOBM",NA,NA,NA,NA
"CCRETT01INM661N",NA,NA,NA,NA
"WPIAMP01INM661N",NA,NA,NA,NA
"INDWPIAMP01GPM",NA,NA,NA,NA
"INDLOCOPGNOSTSAM",NA,NA,NA,NA
"INDLOCOPMNOSTSAM",NA,NA,NA,NA
"INDPRENEL01IXOBM",NA,NA,NA,NA
"INDPRINTO01IXOBM",NA,NA,NA,NA
"INDPRMITO01IXOBM",1,NA,1,1
"IRSTCI01INM156N",1,NA,1,1
"IRSTCB01INM156N",1,NA,1,1
"IRSTPI01INM156N",1,NA,1,1
"INTDSRINM193N",1,NA,1,1
"TRESEGINM052N",NA,NA,NA,NA
"XTEXVA01INM657S",NA,NA,NA,NA
"XTEITT01INM156S",1,NA,1,1
"EXP5330",NA,NA,NA,NA
"XTIMVA01INM657S",NA,NA,NA,NA
"IMP5330",NA,NA,NA,NA
"BSESN",NA,NA,NA,NA
