"","1r","2r","3r","4r"
"INDGDPNQDSMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"INDPRMNCG02IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"INDPRMNTO01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"CCRETT01INM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"WPIAMP01INM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"INDWPIAMP01GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"INDLOCOPGNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"INDLOCOPMNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"INDPRENEL01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"INDPRINTO01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"INDPRMITO01IXOBM",NA,"Estacionario",NA,NA
"IRSTCI01INM156N",NA,"Estacionario",NA,NA
"IRSTCB01INM156N",NA,"Estacionario",NA,NA
"IRSTPI01INM156N",NA,"Estacionario",NA,NA
"INTDSRINM193N",NA,"Estacionario",NA,NA
"TRESEGINM052N","Estacionario","Estacionario","Estacionario","Estacionario"
"XTEXVA01INM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"XTEITT01INM156S",NA,"Estacionario",NA,NA
"EXP5330","Estacionario","Estacionario","Estacionario","Estacionario"
"XTIMVA01INM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"IMP5330","Estacionario","Estacionario","Estacionario","Estacionario"
"BSESN","Estacionario","Estacionario","Estacionario","Estacionario"
