"","1r","2r","3r","4r"
"INDGDPNQDSMEI",0.0137014310208968,0.0163879551684556,0.0174361793785596,0.0189039678138741
"INDPRMNCG02IXOBSAM",0.01,0.01,0.01,0.01
"INDPRMNTO01IXOBM",0.0385305355603763,0.0383993105428784,0.0393224126381777,0.0402702021899286
"CCRETT01INM661N",0.01,0.01,0.01,0.01
"WPIAMP01INM661N",0.01,0.01,0.01,0.01
"INDWPIAMP01GPM",0.01,0.01,0.01,0.01
"INDLOCOPGNOSTSAM",0.01,0.01,0.01,0.01
"INDLOCOPMNOSTSAM",0.01,0.01,0.01,0.01
"INDPRENEL01IXOBM",0.01,0.01,0.01,0.01
"INDPRINTO01IXOBM",0.0420869534741296,0.0423651424713216,0.0431207061508262,0.0436097257339506
"INDPRMITO01IXOBM",0.945772392078134,0.01,0.947793965132198,0.01
"IRSTCI01INM156N",0.557450056468675,0.0276978126577772,0.705377782476524,0.0422985241470174
"IRSTCB01INM156N",0.557450056468675,0.0276978126577772,0.705377782476524,0.0422985241470174
"IRSTPI01INM156N",0.274678927693602,0.01,0.322811521244708,0.01
"INTDSRINM193N",0.561542925566601,0.0168840492682648,0.695288609094726,0.0210564881960235
"TRESEGINM052N",0.01,0.01,0.01,0.01
"XTEXVA01INM657S",0.01,0.01,0.01,0.01
"XTEITT01INM156S",0.639210545842754,0.01,0.649426681527227,0.01
"EXP5330",0.01,0.01,0.01,0.01
"XTIMVA01INM657S",0.01,0.01,0.01,0.01
"IMP5330",0.01,0.01,0.01,0.01
"BSESN",0.01,0.01,0.01,0.01
