"","1r","2r","3r","4r"
"CPMNACNSAB1GQIE",NA,NA,NA,NA
"BSEMFT02IEM460S",1,NA,1,1
"BVEMFT02IEM460S",1,NA,1,1
"BVEMTE02IEM460S",1,NA,1,1
"CP0410IEM086NEST",NA,NA,NA,NA
"CP0500IEM086NEST",1,1,NA,NA
"CP0400IEM086NEST",1,NA,1,1
"CP1252IEM086NEST",1,NA,1,1
"CP0430IEM086NEST",NA,NA,NA,NA
"CP0431IEM086NEST",NA,NA,NA,NA
"X00XHOUIEM086NEST",1,NA,1,1
"CP0432IEM086NEST",NA,NA,NA,NA
"SERVHOIEM086NEST",1,NA,1,1
"CP0550IEM086NEST",1,NA,1,1
"CP0440IEM086NEST",NA,NA,NA,NA
"BSCICP02IEM460S",NA,NA,NA,NA
"BSCICP03IEM665S",NA,NA,NA,NA
"BSFGLV02IEM460S",NA,NA,NA,NA
"BSOBLV02IEM460S",NA,1,NA,NA
"BSPRFT02IEM460S",NA,NA,1,1
"BSSPFT02IEM460S",1,NA,1,1
"PIEAFD02IEM661N",NA,NA,NA,NA
"PIEAMP02IEM659N",1,NA,1,1
"IRLPIEAFD02GPM",NA,NA,NA,NA
"IRLPIEAFD01GPM",NA,NA,NA,NA
"IRLPIEAMP02GPM",NA,NA,NA,NA
"IRLPIEAMP01GPM",NA,NA,NA,NA
"PIEAFD01IEM661N",1,NA,1,1
"PIEAMP01IEM661N",NA,NA,NA,NA
"IRLPROMANMISMEI",NA,NA,NA,NA
"IRLPRMNTO01GPSAM",NA,NA,NA,NA
"CP0611IEM086NEST",NA,NA,NA,NA
"IRLPRINTO01GPSAM",NA,NA,NA,NA
"BVCICP02IEM460S",1,NA,1,1
"BVDEFT02IEM460S",1,NA,1,1
"BVDETE02IEM460S",1,NA,1,1
"IRLCPHP1200GPM",NA,NA,NA,NA
"IRLCPHPSE01IXOBM",NA,NA,NA,NA
"IRLCP120000GPM",NA,NA,NA,NA
"IRLCPGRLH01IXOBM",NA,NA,NA,NA
"IRLCPGRSE01IXOBM",1,NA,1,1
"CP0562IEM086NEST",NA,NA,NA,NA
"CP1260IEM086NEST",NA,NA,NA,NA
"GOODS0IEM086NEST",NA,NA,NA,NA
"CP0621IEM086NEST",NA,NA,NA,NA
"SERVCOIEM086NEST",NA,NA,NA,NA
"SERVRPIEM086NEST",NA,NA,NA,NA
"SERVTRIEM086NEST",NA,NA,NA,NA
"SERVMIIEM086NEST",NA,NA,NA,NA
"CP0730IEM086NEST",NA,NA,NA,NA
"LRHUTTTTIEM156S",1,1,NA,NA
"LMUNRLTTIEM647S",1,NA,1,1
"LFHUTTTTIEM647S",1,NA,1,1
"NBIEBIS",NA,NA,NA,NA
"NNIEBIS",NA,NA,NA,NA
"CCUSMA02IEM661N",NA,NA,NA,NA
"RBIEBIS",NA,NA,NA,NA
"CCRETT01IEM661N",NA,NA,NA,NA
"RNIEBIS",NA,NA,NA,NA
"CCUSSP01IEM650N",NA,NA,NA,NA
"CSINFT02IEM460S",1,NA,1,1
"IRLCPHPLA01IXOBM",NA,NA,NA,NA
"CPGRLE01IEM657N",NA,NA,NA,NA
"IR3TIB01IEM156N",1,NA,1,1
"IRSTCI01IEM156N",1,NA,1,1
"IRLTLT01IEM156N",1,NA,1,1
"BSXRLV02IEM086S",NA,NA,NA,NA
"XTEXVA01IEM657S",NA,NA,NA,NA
"IRLXTEXVA01CXMLM",NA,NA,NA,NA
"IRLLOCOXGNOSTSAM",NA,NA,NA,NA
"IRLLOCOXGORSTSAM",NA,NA,NA,NA
"IRLLOCOTXNOSTSAM",1,NA,1,1
"IRLLOCOTXORSTSAM",NA,NA,NA,NA
"EXP4190",NA,NA,NA,NA
"XTIMVA01IEM657S",NA,NA,NA,NA
"IRLXTIMVA01CXMLM",NA,NA,NA,NA
"IMP4190",NA,NA,NA,NA
"ISEQ",NA,NA,NA,NA
