"","1r","2r","3r","4r"
"CPMNACNSAB1GQIE","Estacionario","Estacionario","Estacionario","Estacionario"
"BSEMFT02IEM460S",NA,"Estacionario",NA,NA
"BVEMFT02IEM460S",NA,"Estacionario",NA,NA
"BVEMTE02IEM460S",NA,"Estacionario",NA,NA
"CP0410IEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0500IEM086NEST",NA,NA,"Estacionario","Estacionario"
"CP0400IEM086NEST",NA,"Estacionario",NA,NA
"CP1252IEM086NEST",NA,"Estacionario",NA,NA
"CP0430IEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0431IEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"X00XHOUIEM086NEST",NA,"Estacionario",NA,NA
"CP0432IEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVHOIEM086NEST",NA,"Estacionario",NA,NA
"CP0550IEM086NEST",NA,"Estacionario",NA,NA
"CP0440IEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP02IEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP03IEM665S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSFGLV02IEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSOBLV02IEM460S","Estacionario",NA,"Estacionario","Estacionario"
"BSPRFT02IEM460S","Estacionario","Estacionario",NA,NA
"BSSPFT02IEM460S",NA,"Estacionario",NA,NA
"PIEAFD02IEM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAMP02IEM659N",NA,"Estacionario",NA,NA
"IRLPIEAFD02GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"IRLPIEAFD01GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"IRLPIEAMP02GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"IRLPIEAMP01GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAFD01IEM661N",NA,"Estacionario",NA,NA
"PIEAMP01IEM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"IRLPROMANMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"IRLPRMNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0611IEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"IRLPRINTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BVCICP02IEM460S",NA,"Estacionario",NA,NA
"BVDEFT02IEM460S",NA,"Estacionario",NA,NA
"BVDETE02IEM460S",NA,"Estacionario",NA,NA
"IRLCPHP1200GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"IRLCPHPSE01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"IRLCP120000GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"IRLCPGRLH01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
