"","1r","2r","3r","4r"
"CPMNACNSAB1GQIE",0.01,0.01,0.01,0.01
"BSEMFT02IEM460S",0.01,0.01,0.07514663079695,0.01
"BVEMFT02IEM460S",0.01,0.01,0.313092958071119,0.01
"BVEMTE02IEM460S",0.01,0.01,0.326542463030868,0.01
"CP0410IEM086NEST",0.0286606113595117,0.0286606113595117,0.0499300316774963,0.0837807577033819
"CP0500IEM086NEST",0.01,0.205883175685664,0.01,0.95029179513788
"CP0400IEM086NEST",0.01,0.01,0.132711820065957,0.01
"CP1252IEM086NEST",0.01,0.01,0.0792214128958021,0.01
"CP0430IEM086NEST",0.0225216903662677,0.01,0.01,0.01
"CP0431IEM086NEST",0.01,0.0225216903662677,0.023225479542417,0.0239700828606394
"X00XHOUIEM086NEST",0.01,0.01,0.57987904844494,0.01
"CP0432IEM086NEST",0.01,0.01,0.01,0.01
"SERVHOIEM086NEST",0.01,0.01,0.117918788143777,0.0296283750345929
"CP0550IEM086NEST",0.0266889726516361,0.01,0.341179997414181,0.01
"CP0440IEM086NEST",0.0328530834130332,0.0266889726516361,0.0259215167430075,0.0286592185117563
"BSCICP02IEM460S",0.01,0.0328530834130332,0.0370695763726332,0.046018723224131
"BSCICP03IEM665S",0.0186659614374076,0.01,0.01,0.01
"BSFGLV02IEM460S",0.01,0.0186659614374076,0.020781240939836,0.0221231704644745
"BSOBLV02IEM460S",0.0470264806391439,0.058175206805117,0.01,0.0890869361010462
"BSPRFT02IEM460S",0.0266914483507763,0.0470264806391439,0.0509890138806524,0.01
"BSSPFT02IEM460S",0.01,0.0266914483507763,0.544325184581003,0.0323731134429412
"PIEAFD02IEM661N",0.01,0.01,0.01,0.01
"PIEAMP02IEM659N",0.01,0.01,0.338967880000847,0.01
"IRLPIEAFD02GPM",0.01,0.01,0.01,0.01
"IRLPIEAFD01GPM",0.01,0.01,0.01,0.01
"IRLPIEAMP02GPM",0.01,0.01,0.01,0.01
"IRLPIEAMP01GPM",0.01,0.01,0.01,0.01
"PIEAFD01IEM661N",0.0356239704684015,0.01,0.0651156961053432,0.01
"PIEAMP01IEM661N",0.0137091643375537,0.0356239704684015,0.0372680511304725,0.0382786996509437
"IRLPROMANMISMEI",0.0253206567697987,0.0137091643375537,0.0195339191620485,0.022187216987482
"IRLPRMNTO01GPSAM",0.01,0.0253206567697987,0.0361681778334185,0.0355314574687467
"CP0611IEM086NEST",0.0326516001356672,0.01,0.01,0.01
"IRLPRINTO01GPSAM",0.01,0.0326516001356672,0.0451692052440795,0.044826766759381
"BVCICP02IEM460S",0.01,0.01,0.197571181513862,0.01
"BVDEFT02IEM460S",0.01,0.01,0.268047342318825,0.01
"BVDETE02IEM460S",0.01,0.01,0.190012834415528,0.01
"IRLCPHP1200GPM",0.01,0.01,0.01,0.01
"IRLCPHPSE01IXOBM",0.01,0.01,0.01,0.01
