"","1r","2r","3r","4r"
"ISRGDPNQDSMEI",NA,NA,NA,NA
"ISRPERMITMISMEI",NA,NA,NA,NA
"ISRPPDMMINMEI",NA,NA,NA,NA
"LCEAMN01ILM657S",NA,NA,NA,NA
"PIEAMP02ILM659N",1,NA,1,1
"ISRPIEAMP02GPM",NA,NA,NA,NA
"ISRPROMANMISMEI",NA,NA,NA,NA
"ISRPRMNTO01GPSAM",NA,NA,NA,NA
"ISRPRINTO01GPSAM",NA,NA,NA,NA
"ISRCP040400IXOBM",NA,NA,NA,NA
"ISRCP120000GPM",NA,NA,NA,NA
"ISRCPGRLH01IXOBM",NA,NA,NA,NA
"NBILBIS",NA,NA,NA,NA
"CCUSMA02ILM618N",NA,NA,NA,NA
"CCUSSP02ILM650N",NA,NA,NA,NA
"RBILBIS",NA,NA,NA,NA
"CCRETT01ILM661N",NA,NA,NA,NA
"CPGRLE01ILM657N",NA,NA,NA,NA
"IR3TIB01ILM156N",1,NA,NA,NA
"IRSTCI01ILM156N",1,NA,1,1
"IRLTLT01ILM156N",1,NA,1,1
"XTEXVA01ILM667S",NA,NA,NA,NA
"ISRXTEXVA01GPSAM",NA,NA,NA,NA
"EXP5081",NA,NA,NA,NA
"XTIMVA01ILM667S",NA,NA,NA,NA
"ISRXTIMVA01GPSAM",NA,NA,NA,NA
"IMP5081",NA,NA,NA,NA
"TA35.TA",NA,NA,NA,NA
"TA125.TA",NA,NA,NA,NA
