"","1r","2r","3r","4r"
"ISRGDPNQDSMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"ISRPERMITMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"ISRPPDMMINMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"LCEAMN01ILM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAMP02ILM659N",NA,"Estacionario",NA,NA
"ISRPIEAMP02GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"ISRPROMANMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"ISRPRMNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"ISRPRINTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"ISRCP040400IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"ISRCP120000GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"ISRCPGRLH01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"NBILBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSMA02ILM618N","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSSP02ILM650N","Estacionario","Estacionario","Estacionario","Estacionario"
"RBILBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCRETT01ILM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"CPGRLE01ILM657N","Estacionario","Estacionario","Estacionario","Estacionario"
"IR3TIB01ILM156N",NA,"Estacionario","Estacionario","Estacionario"
"IRSTCI01ILM156N",NA,"Estacionario",NA,NA
"IRLTLT01ILM156N",NA,"Estacionario",NA,NA
"XTEXVA01ILM667S","Estacionario","Estacionario","Estacionario","Estacionario"
"ISRXTEXVA01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"EXP5081","Estacionario","Estacionario","Estacionario","Estacionario"
"XTIMVA01ILM667S","Estacionario","Estacionario","Estacionario","Estacionario"
"ISRXTIMVA01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"IMP5081","Estacionario","Estacionario","Estacionario","Estacionario"
"TA35.TA","Estacionario","Estacionario","Estacionario","Estacionario"
"TA125.TA","Estacionario","Estacionario","Estacionario","Estacionario"
