"","1r","2r","3r","4r"
"ISRGDPNQDSMEI",0.01,0.01,0.01,0.01
"ISRPERMITMISMEI",0.01,0.01,0.01,0.01
"ISRPPDMMINMEI",0.01,0.01,0.01,0.01
"LCEAMN01ILM657S",0.0214968424998741,0.0120945375578253,0.01,0.01
"PIEAMP02ILM659N",0.332166269250053,0.01,0.356271773582317,0.01
"ISRPIEAMP02GPM",0.01,0.01,0.0109922771274667,0.0131070082925068
"ISRPROMANMISMEI",0.01,0.01,0.01,0.01
"ISRPRMNTO01GPSAM",0.01,0.01,0.01,0.01
"ISRPRINTO01GPSAM",0.01,0.01,0.01,0.01
"ISRCP040400IXOBM",0.017016854171876,0.0180773128651245,0.0192931111628012,0.0164939089602472
"ISRCP120000GPM",0.01,0.01,0.01,0.01
"ISRCPGRLH01IXOBM",0.01,0.01,0.01,0.01
"NBILBIS",0.01,0.01,0.01,0.01
"CCUSMA02ILM618N",0.01,0.01,0.01,0.01
"CCUSSP02ILM650N",0.01,0.01,0.01,0.01
"RBILBIS",0.01,0.01,0.01,0.01
"CCRETT01ILM661N",0.01,0.01,0.01,0.01
"CPGRLE01ILM657N",0.01,0.01,0.01,0.01
"IR3TIB01ILM156N",0.439051970050043,0.01,0.0334478563784203,0.169113601016997
"IRSTCI01ILM156N",0.460394682710965,0.01,0.282166123041155,0.01
"IRLTLT01ILM156N",0.372277471008392,0.01,0.258495482812903,0.01
"XTEXVA01ILM667S",0.01,0.01,0.01,0.01
"ISRXTEXVA01GPSAM",0.01,0.01,0.01,0.01
"EXP5081",0.01,0.01,0.01,0.01
"XTIMVA01ILM667S",0.01,0.01,0.01,0.01
"ISRXTIMVA01GPSAM",0.01,0.01,0.01,0.01
"IMP5081",0.01,0.01,0.01,0.01
"TA35.TA",0.01,0.01,0.01,0.01
"TA125.TA",0.01,0.01,0.01,0.01
