"","1r","2r","3r","4r"
"CPMNACSCAB1GQIT",NA,NA,NA,NA
"ITABRODFT02STSAM",NA,NA,1,1
"BCEMFT02ITM460S",1,NA,1,1
"BSEMFT02ITM460S",1,NA,1,1
"BVEMFT02ITM460S",1,NA,1,1
"BVEMTE02ITM460S",1,NA,1,1
"ITACP040500IXOBM",NA,NA,NA,NA
"CP0410ITM086NEST",NA,NA,NA,NA
"CP0400ITM086NEST",1,NA,1,1
"CP0430ITM086NEST",NA,NA,NA,NA
"CP0431ITM086NEST",NA,NA,NA,NA
"CP0432ITM086NEST",NA,NA,NA,NA
"SERVHOITM086NEST",NA,NA,NA,NA
"CP0550ITM086NEST",1,NA,1,1
"CP0440ITM086NEST",NA,NA,NA,NA
"BSCICP02ITM460S",1,NA,1,1
"BSCICP03ITM665S",NA,NA,NA,NA
"BSFGLV02ITM460S",1,NA,1,1
"BSOBLV02ITM460S",1,NA,1,1
"BSPRFT02ITM460S",1,NA,1,1
"BSPRTE02ITM460S",NA,NA,1,1
"BSSPFT02ITM460S",1,NA,1,1
"ITAPPDMMINMEI",NA,NA,NA,NA
"LCEAMN01ITM661S",1,NA,1,1
"ITALCEAMN01GPSAM",NA,NA,NA,NA
"PIEAFD02ITM661N",NA,NA,NA,NA
"PIEAMP02ITM659N",1,NA,1,1
"ITAPIEAFD02GPM",NA,NA,NA,NA
"ITAPROMANMISMEI",NA,NA,NA,NA
"ITAPRMNTO01GPSAM",NA,NA,NA,NA
"ITASLMNTO02IXOBSAM",NA,NA,NA,NA
"CP0611ITM086NEST",NA,NA,NA,NA
"ITALOCOBPNOSTSAM",NA,NA,NA,NA
"ITALOCOBPORSTSAM",1,NA,1,1
"ITAPRCNTO01GPSAM",NA,NA,NA,NA
"ITAPREND401IXOBSAM",NA,NA,NA,NA
"ITAPRENTO01IXOBSAM",NA,NA,NA,NA
"ITAPRINTO01GPSAM",NA,NA,NA,NA
"ITAPRMITO01IXOBSAM",NA,NA,NA,NA
"BVCICP02ITM460S",NA,1,NA,NA
"BVDEFT02ITM460S",1,NA,1,1
"BVDETE02ITM460S",1,NA,1,1
"ITACPHP1200GPM",NA,NA,NA,NA
"ITACPHPSE01IXOBM",NA,NA,NA,NA
"ITACP040400IXOBM",NA,NA,NA,NA
"ITACP120000GPM",NA,NA,NA,NA
"ITACPGRLH02IXOBM",NA,NA,NA,NA
"ITACPGRSE01IXOBM",NA,NA,NA,NA
"CP1120ITM086NEST",1,NA,1,1
"CP0562ITM086NEST",NA,NA,NA,NA
"CP1260ITM086NEST",1,NA,1,1
"CP0621ITM086NEST",NA,NA,NA,NA
"CP1200ITM086NEST",NA,NA,NA,NA
"SERV00ITM086NEST",NA,NA,NA,NA
"SERVCOITM086NEST",NA,NA,NA,NA
"SERVRPITM086NEST",NA,NA,NA,NA
"SERVTRITM086NEST",NA,NA,NA,NA
"SERVMIITM086NEST",NA,NA,NA,NA
"CP0730ITM086NEST",1,NA,1,1
"LRHUTTTTITM156S",1,1,NA,NA
"LFHUTTTTITM647S",1,NA,1,1
"NBITBIS",NA,NA,NA,NA
"NNITBIS",NA,NA,NA,NA
"CCUSMA02ITM661N",NA,NA,NA,NA
"RBITBIS",NA,NA,NA,NA
"CCRETT01ITM661N",NA,NA,NA,NA
"RNITBIS",NA,NA,NA,NA
"CCUSSP01ITM650N",NA,NA,NA,NA
"CSINFT02ITM460S",1,NA,1,1
"ITACPHPLA01IXOBM",1,NA,1,1
"CPGRLE01ITM657N",1,NA,1,1
"IR3TIB01ITM156N",1,NA,1,1
"IRSTCI01ITM156N",1,NA,1,1
"INTGSBITM193N",1,NA,1,1
"INTGSTITM193N",NA,NA,NA,NA
"IRLTLT01ITM156N",1,NA,1,1
"TRESEGITM052N",1,NA,1,1
"BSXRLV02ITM086S",NA,NA,NA,NA
"XTEXVA01ITM657S",NA,NA,NA,NA
"ITAXTEXVA01CXMLM",NA,NA,NA,NA
"EXP4759",NA,NA,NA,NA
"XTIMVA01ITM657S",NA,NA,NA,NA
"ITAXTIMVA01CXMLM",NA,NA,NA,NA
"ITALOCOTMNOSTSAM",NA,NA,NA,NA
"ITALOCOTMORCXMLSAM",NA,NA,NA,NA
"IMP4759",NA,NA,NA,NA
"FTSEMIB.MI",NA,NA,NA,NA
