"","1r","2r","3r","4r"
"CPMNACSCAB1GQIT","Estacionario","Estacionario","Estacionario","Estacionario"
"ITABRODFT02STSAM","Estacionario","Estacionario",NA,NA
"BCEMFT02ITM460S",NA,"Estacionario",NA,NA
"BSEMFT02ITM460S",NA,"Estacionario",NA,NA
"BVEMFT02ITM460S",NA,"Estacionario",NA,NA
"BVEMTE02ITM460S",NA,"Estacionario",NA,NA
"ITACP040500IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0410ITM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0400ITM086NEST",NA,"Estacionario",NA,NA
"CP0430ITM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0431ITM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0432ITM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVHOITM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0550ITM086NEST",NA,"Estacionario",NA,NA
"CP0440ITM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP02ITM460S",NA,"Estacionario",NA,NA
"BSCICP03ITM665S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSFGLV02ITM460S",NA,"Estacionario",NA,NA
"BSOBLV02ITM460S",NA,"Estacionario",NA,NA
"BSPRFT02ITM460S",NA,"Estacionario",NA,NA
"BSPRTE02ITM460S","Estacionario","Estacionario",NA,NA
"BSSPFT02ITM460S",NA,"Estacionario",NA,NA
"ITAPPDMMINMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"LCEAMN01ITM661S",NA,"Estacionario",NA,NA
"ITALCEAMN01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAFD02ITM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAMP02ITM659N",NA,"Estacionario",NA,NA
"ITAPIEAFD02GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"ITAPROMANMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"ITAPRMNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"ITASLMNTO02IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0611ITM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"ITALOCOBPNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"ITALOCOBPORSTSAM",NA,"Estacionario",NA,NA
"ITAPRCNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"ITAPREND401IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"ITAPRENTO01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"ITAPRINTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"ITAPRMITO01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BVCICP02ITM460S","Estacionario",NA,"Estacionario","Estacionario"
"BVDEFT02ITM460S",NA,"Estacionario",NA,NA
"BVDETE02ITM460S",NA,"Estacionario",NA,NA
"ITACPHP1200GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"ITACPHPSE01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"ITACP040400IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"ITACP120000GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"ITACPGRLH02IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"ITACPGRSE01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1120ITM086NEST",NA,"Estacionario",NA,NA
"CP0562ITM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1260ITM086NEST",NA,"Estacionario",NA,NA
"CP0621ITM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1200ITM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERV00ITM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVCOITM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVRPITM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVTRITM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVMIITM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0730ITM086NEST",NA,"Estacionario",NA,NA
"LRHUTTTTITM156S",NA,NA,"Estacionario","Estacionario"
"LFHUTTTTITM647S",NA,"Estacionario",NA,NA
"NBITBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"NNITBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSMA02ITM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RBITBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCRETT01ITM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RNITBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSSP01ITM650N","Estacionario","Estacionario","Estacionario","Estacionario"
"CSINFT02ITM460S",NA,"Estacionario",NA,NA
"ITACPHPLA01IXOBM",NA,"Estacionario",NA,NA
"CPGRLE01ITM657N",NA,"Estacionario",NA,NA
"IR3TIB01ITM156N",NA,"Estacionario",NA,NA
"IRSTCI01ITM156N",NA,"Estacionario",NA,NA
"INTGSBITM193N",NA,"Estacionario",NA,NA
"INTGSTITM193N","Estacionario","Estacionario","Estacionario","Estacionario"
"IRLTLT01ITM156N",NA,"Estacionario",NA,NA
"TRESEGITM052N",NA,"Estacionario",NA,NA
"BSXRLV02ITM086S","Estacionario","Estacionario","Estacionario","Estacionario"
"XTEXVA01ITM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"ITAXTEXVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"EXP4759","Estacionario","Estacionario","Estacionario","Estacionario"
"XTIMVA01ITM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"ITAXTIMVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"ITALOCOTMNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"ITALOCOTMORCXMLSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"IMP4759","Estacionario","Estacionario","Estacionario","Estacionario"
"FTSEMIB.MI","Estacionario","Estacionario","Estacionario","Estacionario"
