"","1r","2r","3r","4r"
"CPMNACSCAB1GQIT",0.01,0.01,0.01,0.01
"ITABRODFT02STSAM",0.0247203951349532,0.0247203951349532,0.0620176548714948,0.0221352598597836
"BCEMFT02ITM460S",0.01,0.01,0.954165654898773,0.01
"BSEMFT02ITM460S",0.01,0.01,0.311036056445406,0.01
"BVEMFT02ITM460S",0.01,0.01,0.638050932817003,0.01
"BVEMTE02ITM460S",0.01,0.01,0.297089481596262,0.01
"ITACP040500IXOBM",0.01,0.01,0.01,0.01
"CP0410ITM086NEST",0.01,0.01,0.01,0.01
"CP0400ITM086NEST",0.01,0.01,0.247355928361136,0.01
"CP0430ITM086NEST",0.01,0.01,0.01,0.01
"CP0431ITM086NEST",0.01,0.01,0.0193326892628553,0.0323593545609553
"CP0432ITM086NEST",0.01,0.01,0.01,0.01
"SERVHOITM086NEST",0.0190229778728199,0.0190229778728199,0.0202965245417685,0.0215881725383941
"CP0550ITM086NEST",0.01,0.01,0.198190605179851,0.01
"CP0440ITM086NEST",0.01,0.01,0.01,0.01
"BSCICP02ITM460S",0.01,0.01,0.0827849359860505,0.01
"BSCICP03ITM665S",0.01,0.01,0.01,0.01
"BSFGLV02ITM460S",0.01,0.01,0.0783872151621499,0.01
"BSOBLV02ITM460S",0.01,0.01,0.0836418680546813,0.01
"BSPRFT02ITM460S",0.01,0.01,0.0964501937787218,0.01
"BSPRTE02ITM460S",0.0452613012738926,0.0452613012738926,0.0635997342684158,0.01
"BSSPFT02ITM460S",0.01,0.01,0.526229974936875,0.01
"ITAPPDMMINMEI",0.01,0.01,0.01,0.01
"LCEAMN01ITM661S",0.01,0.01,0.0983627568141378,0.01
"ITALCEAMN01GPSAM",0.01,0.01,0.01,0.01
"PIEAFD02ITM661N",0.0177318788276928,0.0177318788276928,0.0209425592932385,0.0218724496058292
"PIEAMP02ITM659N",0.0250122932397657,0.0250122932397657,0.743271816843004,0.0295060676647284
"ITAPIEAFD02GPM",0.0157114644438783,0.0157114644438783,0.0173574918619304,0.0193516583979492
"ITAPROMANMISMEI",0.01,0.01,0.01,0.01
"ITAPRMNTO01GPSAM",0.01,0.01,0.01,0.01
"ITASLMNTO02IXOBSAM",0.01,0.01,0.0109043237042655,0.012482078441693
"CP0611ITM086NEST",0.01,0.01,0.01,0.01
"ITALOCOBPNOSTSAM",0.01,0.01,0.01,0.01
"ITALOCOBPORSTSAM",0.01,0.01,0.0964501937787218,0.01
"ITAPRCNTO01GPSAM",0.01,0.01,0.01,0.01
"ITAPREND401IXOBSAM",0.01,0.01,0.01,0.0118123245203871
"ITAPRENTO01IXOBSAM",0.0161345092846661,0.0161345092846661,0.016862336905866,0.0243120126761081
"ITAPRINTO01GPSAM",0.01,0.01,0.01,0.01
"ITAPRMITO01IXOBSAM",0.01,0.01,0.01,0.01
"BVCICP02ITM460S",0.01,0.0556957423890607,0.01,0.0953663815504244
"BVDEFT02ITM460S",0.01,0.01,0.14752120316486,0.01
"BVDETE02ITM460S",0.01,0.01,0.169125032141187,0.01
"ITACPHP1200GPM",0.01,0.01,0.01,0.01
"ITACPHPSE01IXOBM",0.01,0.01,0.01,0.01
"ITACP040400IXOBM",0.01,0.01,0.01,0.01
"ITACP120000GPM",0.0158677807295095,0.0158677807295095,0.0151653662928514,0.0113238295870132
"ITACPGRLH02IXOBM",0.01,0.01,0.01,0.01
"ITACPGRSE01IXOBM",0.01,0.01,0.01,0.01
"CP1120ITM086NEST",0.01,0.01,0.150117335784044,0.01
"CP0562ITM086NEST",0.01,0.01,0.01,0.01
"CP1260ITM086NEST",0.01,0.01,0.102212860981195,0.01
"CP0621ITM086NEST",0.01,0.01,0.01,0.01
"CP1200ITM086NEST",0.01,0.01,0.01,0.01
"SERV00ITM086NEST",0.01,0.01,0.01,0.01
"SERVCOITM086NEST",0.0230120891809787,0.0230120891809787,0.0225289925781304,0.0220117744012975
"SERVRPITM086NEST",0.01,0.01,0.01,0.01
"SERVTRITM086NEST",0.01,0.01,0.01,0.01
"SERVMIITM086NEST",0.01,0.01,0.01,0.01
"CP0730ITM086NEST",0.01,0.01,0.0882813367664022,0.01
"LRHUTTTTITM156S",0.01,0.201628985599453,0.01,0.899900519311714
"LFHUTTTTITM647S",0.01,0.01,0.131322349458417,0.01
"NBITBIS",0.01,0.01,0.01,0.01
"NNITBIS",0.01,0.01,0.01,0.01
