"","1r","2r","3r","4r"
"JPNNGDP",NA,NA,NA,NA
"LFEAAGTTJPM647S",NA,NA,NA,NA
"LFEACNTTJPM647S",NA,NA,NA,NA
"LFEAINTTJPM647S",NA,NA,NA,NA
"LFEAICTTJPM647S",NA,NA,NA,NA
"LFEASETTJPM647S",NA,NA,NA,NA
"HOOVMN03JPM661N",NA,NA,NA,NA
"LFESEETTJPM647S",1,NA,1,1
"BSCICP03JPM665S",NA,NA,NA,NA
"JPNPPDMMINMEI",NA,NA,NA,NA
"LCEAMN01JPM661S",NA,NA,NA,NA
"JPNLCEAMN01GPSAM",NA,NA,NA,NA
"LCEAMN03JPM661S",NA,NA,NA,NA
"HOHWMN03JPM661S",NA,NA,NA,NA
"PIEAMP02JPM659N",1,NA,1,1
"JPNPIEAFD02GPM",NA,NA,NA,NA
"JPNPIEAMP02GPM",NA,NA,NA,NA
"JPNPROMANMISMEI",NA,NA,NA,NA
"JPNPRMNTO01GPSAM",NA,NA,NA,NA
"JPNSTMNIS01IXOBSAM",NA,NA,NA,NA
"JPNSTMNTO01IXOBSAM",NA,NA,NA,NA
"JPNPISPPR02GPM",NA,NA,NA,NA
"JPNPISPPR01GPM",NA,NA,NA,NA
"JPNPRENTO01IXOBSAM",NA,NA,NA,NA
"JPNPRINTO01GPSAM",NA,NA,NA,NA
"JPNPRMITO01IXOBSAM",NA,NA,NA,NA
"LRHUTTTTJPM156S",1,1,NA,NA
"LFHUTTTTJPM647S",1,NA,1,1
"NBJPBIS",NA,NA,NA,NA
"CCEUSP01JPM651N",NA,NA,NA,NA
"EXJPUS",NA,NA,NA,NA
"NNJPBIS",NA,NA,NA,NA
"CCUSMA02JPM661N",NA,NA,NA,NA
"RBJPBIS",NA,NA,NA,NA
"CCRETT01JPM661N",NA,NA,NA,NA
"RNJPBIS",NA,NA,NA,NA
"CCUSSP01JPM650N",NA,NA,NA,NA
"CPGRLE01JPM657N",NA,NA,NA,NA
"IR3TCD01JPM156N",1,NA,1,1
"IRSTCI01JPM156N",1,NA,1,1
"IRSTCB01JPM156N",NA,NA,NA,NA
"IRLTLT01JPM156N",1,NA,1,1
"TRESEGJPM052N",NA,NA,NA,NA
"JPNLOCOSINOSTSAM",NA,NA,NA,NA
"JPNLOCOSIORSTM",1,NA,1,1
"IH14221",NA,NA,NA,NA
"XTEXVA01JPM657S",NA,NA,NA,NA
"JPNXTEXVA01CXMLM",NA,NA,NA,NA
"EXPJP",NA,NA,NA,NA
"PLOGSKUSDM",NA,NA,NA,NA
"JPNTOT",1,NA,1,1
"XTIMVA01JPM657S",NA,NA,NA,NA
"JPNXTIMVA01CXMLM",NA,NA,NA,NA
"IMPJP",NA,NA,NA,NA
"N225",NA,NA,NA,NA
