"","1r","2r","3r","4r"
"JPNNGDP","Estacionario","Estacionario","Estacionario","Estacionario"
"LFEAAGTTJPM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LFEACNTTJPM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LFEAINTTJPM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LFEAICTTJPM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LFEASETTJPM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"HOOVMN03JPM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"LFESEETTJPM647S",NA,"Estacionario",NA,NA
"BSCICP03JPM665S","Estacionario","Estacionario","Estacionario","Estacionario"
"JPNPPDMMINMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"LCEAMN01JPM661S","Estacionario","Estacionario","Estacionario","Estacionario"
"JPNLCEAMN01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"LCEAMN03JPM661S","Estacionario","Estacionario","Estacionario","Estacionario"
"HOHWMN03JPM661S","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAMP02JPM659N",NA,"Estacionario",NA,NA
"JPNPIEAFD02GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"JPNPIEAMP02GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"JPNPROMANMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"JPNPRMNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"JPNSTMNIS01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"JPNSTMNTO01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"JPNPISPPR02GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"JPNPISPPR01GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"JPNPRENTO01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"JPNPRINTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"JPNPRMITO01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"LRHUTTTTJPM156S",NA,NA,"Estacionario","Estacionario"
"LFHUTTTTJPM647S",NA,"Estacionario",NA,NA
"NBJPBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCEUSP01JPM651N","Estacionario","Estacionario","Estacionario","Estacionario"
"EXJPUS","Estacionario","Estacionario","Estacionario","Estacionario"
"NNJPBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSMA02JPM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RBJPBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCRETT01JPM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RNJPBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSSP01JPM650N","Estacionario","Estacionario","Estacionario","Estacionario"
"CPGRLE01JPM657N","Estacionario","Estacionario","Estacionario","Estacionario"
"IR3TCD01JPM156N",NA,"Estacionario",NA,NA
"IRSTCI01JPM156N",NA,"Estacionario",NA,NA
"IRSTCB01JPM156N","Estacionario","Estacionario","Estacionario","Estacionario"
"IRLTLT01JPM156N",NA,"Estacionario",NA,NA
"TRESEGJPM052N","Estacionario","Estacionario","Estacionario","Estacionario"
"JPNLOCOSINOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"JPNLOCOSIORSTM",NA,"Estacionario",NA,NA
"IH14221","Estacionario","Estacionario","Estacionario","Estacionario"
"XTEXVA01JPM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"JPNXTEXVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"EXPJP","Estacionario","Estacionario","Estacionario","Estacionario"
"PLOGSKUSDM","Estacionario","Estacionario","Estacionario","Estacionario"
"JPNTOT",NA,"Estacionario",NA,NA
"XTIMVA01JPM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"JPNXTIMVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"IMPJP","Estacionario","Estacionario","Estacionario","Estacionario"
"N225","Estacionario","Estacionario","Estacionario","Estacionario"
