"","1r","2r","3r","4r"
"JPNNGDP",0.01,0.01,0.01,0.01
"LFEAAGTTJPM647S",0.0198496522216035,0.0198496522216035,0.0213818803911021,0.0214512553649698
"LFEACNTTJPM647S",0.0348452347158194,0.0348452347158194,0.0383427321798309,0.086443952751899
"LFEAINTTJPM647S",0.0193166436498715,0.0193166436498715,0.0186690521798967,0.0162614274655414
"LFEAICTTJPM647S",0.0400651385951455,0.0400651385951455,0.0419217963702939,0.0494984813778361
"LFEASETTJPM647S",0.0147571713414641,0.0147571713414641,0.015147907743065,0.0163470147143713
"HOOVMN03JPM661N",0.0110474818026122,0.0110474818026122,0.012300463427616,0.0140169450645564
"LFESEETTJPM647S",0.01,0.01,0.12909916900422,0.01
"BSCICP03JPM665S",0.01,0.01,0.01,0.0105668725012553
"JPNPPDMMINMEI",0.0394669206987767,0.0394669206987767,0.042144152777717,0.0443648186831653
"LCEAMN01JPM661S",0.01,0.01,0.01,0.01
"JPNLCEAMN01GPSAM",0.01,0.01,0.01,0.01
"LCEAMN03JPM661S",0.01,0.01,0.01,0.01
"HOHWMN03JPM661S",0.01,0.01,0.01,0.01
"PIEAMP02JPM659N",0.01,0.01,0.236321866038906,0.0131869577348598
"JPNPIEAFD02GPM",0.01,0.01,0.01,0.01
"JPNPIEAMP02GPM",0.032740541800211,0.032740541800211,0.035279962928567,0.037441004186723
"JPNPROMANMISMEI",0.01,0.01,0.01,0.01
"JPNPRMNTO01GPSAM",0.01,0.01,0.01,0.01
"JPNSTMNIS01IXOBSAM",0.01,0.01,0.01,0.01
"JPNSTMNTO01IXOBSAM",0.0109680764969424,0.0109680764969424,0.0128970783667359,0.0122816764062921
"JPNPISPPR02GPM",0.01,0.01,0.01,0.01
"JPNPISPPR01GPM",0.0235154330846798,0.0235154330846798,0.0245064715471583,0.0271070127325885
"JPNPRENTO01IXOBSAM",0.01,0.01,0.01,0.01
"JPNPRINTO01GPSAM",0.01,0.01,0.01,0.01
"JPNPRMITO01IXOBSAM",0.01,0.01,0.01,0.01
"LRHUTTTTJPM156S",0.01,0.252045007307607,0.01,0.278631233345938
"LFHUTTTTJPM647S",0.0202338101055382,0.01,0.266334523496428,0.01
"NBJPBIS",0.01,0.0202338101055382,0.0206482656246322,0.0336035194891618
"CCEUSP01JPM651N",0.0309305122023519,0.01,0.01,0.0306936899964582
"EXJPUS",0.0248964117154735,0.0309305122023519,0.0339886157511336,0.0367286996658541
"NNJPBIS",0.0313663984836967,0.0248964117154735,0.0257095878208891,0.042240463996316
"CCUSMA02JPM661N",0.0143584823549585,0.0313663984836967,0.0342068865720912,0.0380111237647405
"RBJPBIS",0.0107571144116068,0.0143584823549585,0.0140245204602541,0.0238392162727713
"CCRETT01JPM661N",0.0210440853658457,0.0107571144116068,0.01,0.0207649311517993
"RNJPBIS",0.0437210247354664,0.0210440853658457,0.0210956381116495,0.0336301333411523
"CCUSSP01JPM650N",0.01,0.0437210247354664,0.0497065379366315,0.047480240326331
"CPGRLE01JPM657N",0.01,0.01,0.01,0.01
"IR3TCD01JPM156N",0.01,0.01,0.323283427081199,0.01
"IRSTCI01JPM156N",0.0436798667467928,0.01,0.278922857712577,0.01
"IRSTCB01JPM156N",0.01,0.0436798667467928,0.0375299422794522,0.0858763008440391
"IRLTLT01JPM156N",0.0258012188828551,0.01,0.731911656968303,0.01
"TRESEGJPM052N",0.01,0.0258012188828551,0.0260962988454372,0.0361270868281655
"JPNLOCOSINOSTSAM",0.01,0.01,0.01,0.01
"JPNLOCOSIORSTM",0.01,0.01,0.321699311660559,0.01
"IH14221",0.01,0.01,0.01,0.01
"XTEXVA01JPM657S",0.0112676579370538,0.01,0.01,0.01
"JPNXTEXVA01CXMLM",0.01,0.0112676579370538,0.0139039081331842,0.0154104606533837
"EXPJP",0.01,0.01,0.01,0.01
"PLOGSKUSDM",0.01,0.01,0.01,0.01
"JPNTOT",0.01,0.01,0.170639310331717,0.01
"XTIMVA01JPM657S",0.01,0.01,0.01,0.01
"JPNXTIMVA01CXMLM",0.01,0.01,0.01,0.01
"IMPJP",0.0169503432523273,0.01,0.01,0.01
"N225",0.0144040831157249,0.0169503432523273,0.0191219361933958,0.0191242403383118
