"","1r","2r","3r","4r"
"NGDPRSAXDCKRQ",NA,NA,NA,NA
"LFEAAGTTKRM647S",1,NA,1,1
"LFEAICTTKRM647S",NA,NA,NA,NA
"LFEAMNTTKRM647S",NA,NA,NA,NA
"LFEASETTKRM647S",NA,NA,NA,NA
"LFESEETTKRM647S",NA,NA,NA,NA
"IRLOHO01KRM156N",1,NA,1,1
"BSCICP02KRM460S",NA,NA,NA,NA
"BSCICP03KRM665S",1,NA,NA,NA
"BSOITE02KRM460S",NA,NA,NA,NA
"BSSPFT02KRM460S",NA,NA,NA,NA
"KORPPDMMINMEI",NA,NA,NA,NA
"PIEAFD02KRM661N",NA,NA,NA,NA
"PIEAMP02KRM659N",1,NA,1,1
"KORPIEAFD02GPM",NA,NA,NA,NA
"KORPIEAMP02GPM",NA,1,NA,NA
"KORPROMANMISMEI",NA,NA,NA,NA
"KORPRMNTO01GPSAM",NA,NA,NA,NA
"KORSLMNTO01IXOBSAM",NA,NA,NA,NA
"KORPISPPR02GPM",NA,NA,NA,NA
"KORPISPPR01GPM",NA,NA,NA,NA
"KORPRCNTO01IXOBM",NA,NA,NA,NA
"KORPRINTO01IXOBM",NA,NA,NA,NA
"KORB6DBSE01CXCUSAM",NA,NA,NA,NA
"KORCP040400IXOBM",NA,NA,NA,NA
"KORCP120000GPM",NA,NA,NA,NA
"KORCPGRSE01IXOBM",NA,NA,NA,NA
"LRHUTTTTKRM156S",NA,NA,NA,NA
"LFHUTTTTKRM647S",NA,NA,NA,NA
"NBKRBIS",NA,NA,NA,NA
"NNKRBIS",NA,NA,NA,NA
"CCUSMA02KRM661N",NA,NA,NA,NA
"RBKRBIS",NA,NA,NA,NA
"CCRETT01KRM661N",NA,NA,NA,NA
"RNKRBIS",NA,NA,NA,NA
"EXKOUS",NA,NA,NA,NA
"CCUSSP01KRM650N",NA,NA,NA,NA
"CPGRLE01KRM657N",NA,NA,NA,NA
"IR3TCD01KRM156N",1,NA,1,1
"IR3TIB01KRM156N",1,NA,1,1
"IRSTCI01KRM156N",NA,1,NA,NA
"INTDSRKRM193N",1,NA,NA,NA
"INTGSBKRM193N",1,NA,1,1
"KORB6FARA01CXCUM",NA,NA,NA,NA
"TRESEGKRM052N",NA,NA,NA,NA
"KORLOCOSINOSTSAM",NA,NA,NA,NA
"KORLOCOSIORSTM",NA,NA,NA,NA
"XTEXVA01KRM657S",NA,NA,NA,NA
"KORXTEXVA01NCMLM",NA,NA,NA,NA
"EXPKR",NA,NA,NA,NA
"XTIMVA01KRM657S",NA,NA,NA,NA
"KORXTIMVA01NCMLM",NA,NA,NA,NA
"IMPKR",NA,NA,NA,NA
"KS11",NA,NA,NA,NA
