"","1r","2r","3r","4r"
"NGDPRSAXDCKRQ","Estacionario","Estacionario","Estacionario","Estacionario"
"LFEAAGTTKRM647S",NA,"Estacionario",NA,NA
"LFEAICTTKRM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LFEAMNTTKRM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LFEASETTKRM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LFESEETTKRM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"IRLOHO01KRM156N",NA,"Estacionario",NA,NA
"BSCICP02KRM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP03KRM665S",NA,"Estacionario","Estacionario","Estacionario"
"BSOITE02KRM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSSPFT02KRM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"KORPPDMMINMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAFD02KRM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAMP02KRM659N",NA,"Estacionario",NA,NA
"KORPIEAFD02GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"KORPIEAMP02GPM","Estacionario",NA,"Estacionario","Estacionario"
"KORPROMANMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"KORPRMNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"KORSLMNTO01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"KORPISPPR02GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"KORPISPPR01GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"KORPRCNTO01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"KORPRINTO01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"KORB6DBSE01CXCUSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"KORCP040400IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"KORCP120000GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"KORCPGRSE01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"LRHUTTTTKRM156S","Estacionario","Estacionario","Estacionario","Estacionario"
"LFHUTTTTKRM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"NBKRBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"NNKRBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSMA02KRM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RBKRBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCRETT01KRM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RNKRBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"EXKOUS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSSP01KRM650N","Estacionario","Estacionario","Estacionario","Estacionario"
"CPGRLE01KRM657N","Estacionario","Estacionario","Estacionario","Estacionario"
"IR3TCD01KRM156N",NA,"Estacionario",NA,NA
"IR3TIB01KRM156N",NA,"Estacionario",NA,NA
"IRSTCI01KRM156N","Estacionario",NA,"Estacionario","Estacionario"
"INTDSRKRM193N",NA,"Estacionario","Estacionario","Estacionario"
"INTGSBKRM193N",NA,"Estacionario",NA,NA
"KORB6FARA01CXCUM","Estacionario","Estacionario","Estacionario","Estacionario"
"TRESEGKRM052N","Estacionario","Estacionario","Estacionario","Estacionario"
"KORLOCOSINOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"KORLOCOSIORSTM","Estacionario","Estacionario","Estacionario","Estacionario"
"XTEXVA01KRM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"KORXTEXVA01NCMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"EXPKR","Estacionario","Estacionario","Estacionario","Estacionario"
"XTIMVA01KRM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"KORXTIMVA01NCMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"IMPKR","Estacionario","Estacionario","Estacionario","Estacionario"
"KS11","Estacionario","Estacionario","Estacionario","Estacionario"
