"","1r","2r","3r","4r"
"NGDPRSAXDCKRQ",0.01,0.01,0.01,0.01
"LFEAAGTTKRM647S",0.01,0.01,0.055431233073866,0.01
"LFEAICTTKRM647S",0.01,0.01,0.01,0.01
"LFEAMNTTKRM647S",0.01,0.01,0.01,0.0140639955074706
"LFEASETTKRM647S",0.01,0.01,0.01,0.01
"LFESEETTKRM647S",0.01,0.01,0.01,0.01
"IRLOHO01KRM156N",0.01,0.01,0.574177160036661,0.01
"BSCICP02KRM460S",0.01,0.01,0.01,0.01
"BSCICP03KRM665S",0.01,0.01,0.0485219915675633,0.0458005034500598
"BSOITE02KRM460S",0.01,0.01,0.01,0.01
"BSSPFT02KRM460S",0.01,0.01,0.01,0.01
"KORPPDMMINMEI",0.0473089542673214,0.0473089542673214,0.0262717322850062,0.0243336361236636
"PIEAFD02KRM661N",0.0185086961213376,0.0185086961213376,0.0161112640411639,0.0197727965891731
"PIEAMP02KRM659N",0.01,0.01,0.339188981008799,0.01
"KORPIEAFD02GPM",0.0305725552279236,0.0305725552279236,0.0301345112057689,0.0424665582026917
"KORPIEAMP02GPM",0.01,0.0633508902269407,0.01,0.0774404098806785
"KORPROMANMISMEI",0.01,0.01,0.01,0.01
"KORPRMNTO01GPSAM",0.01,0.01,0.01,0.01
"KORSLMNTO01IXOBSAM",0.01,0.01,0.01,0.01
"KORPISPPR02GPM",0.01,0.01,0.01,0.01
"KORPISPPR01GPM",0.01,0.01,0.01,0.01
"KORPRCNTO01IXOBM",0.01,0.01,0.01,0.01
"KORPRINTO01IXOBM",0.01,0.01,0.01,0.01
"KORB6DBSE01CXCUSAM",0.01,0.01,0.01,0.01
"KORCP040400IXOBM",0.01,0.01,0.01,0.01
"KORCP120000GPM",0.01,0.01,0.01,0.01
"KORCPGRSE01IXOBM",0.01,0.01,0.01,0.01
"LRHUTTTTKRM156S",0.01,0.01,0.01,0.01
"LFHUTTTTKRM647S",0.01,0.01,0.01,0.01
"NBKRBIS",0.01,0.01,0.01,0.01
"NNKRBIS",0.01,0.01,0.01,0.01
"CCUSMA02KRM661N",0.01,0.01,0.01,0.01
"RBKRBIS",0.01,0.01,0.01,0.01
"CCRETT01KRM661N",0.01,0.01,0.01,0.01
"RNKRBIS",0.01,0.01,0.01,0.01
"EXKOUS",0.01,0.01,0.01,0.01
"CCUSSP01KRM650N",0.01,0.01,0.01,0.01
"CPGRLE01KRM657N",0.01,0.01,0.01,0.01
"IR3TCD01KRM156N",0.01,0.01,0.265548085743302,0.01
"IR3TIB01KRM156N",0.01,0.01,0.265548085743302,0.01
"IRSTCI01KRM156N",0.01,0.0747754967701337,0.01,0.0187121379281438
"INTDSRKRM193N",0.01,0.01,0.0353525970451455,0.0222593178505144
"INTGSBKRM193N",0.01,0.01,0.573643053523803,0.01
"KORB6FARA01CXCUM",0.01,0.01,0.01,0.01
"TRESEGKRM052N",0.01,0.01,0.01,0.0157028339651878
"KORLOCOSINOSTSAM",0.01,0.01,0.01,0.01
"KORLOCOSIORSTM",0.01,0.01,0.0117315655035548,0.159696193785988
"XTEXVA01KRM657S",0.01,0.01,0.0144802940431374,0.0138256851687699
"KORXTEXVA01NCMLM",0.01,0.01,0.01,0.01
"EXPKR",0.01,0.01,0.01,0.01
"XTIMVA01KRM657S",0.01,0.01,0.01,0.01
"KORXTIMVA01NCMLM",0.01,0.01,0.01,0.01
"IMPKR",0.01,0.01,0.01,0.01
"KS11",0.01,0.01,0.01,0.01
