"","1r","2r","3r","4r"
"NGDPRSAXDCMXQ",NA,NA,NA,NA
"BSCURT02MXM160S",1,NA,1,1
"BSCICP02MXM460S",NA,NA,NA,NA
"BSCICP03MXM665S",NA,NA,NA,NA
"BSFGLV02MXM460S",NA,NA,NA,NA
"BSPRTE02MXM460S",1,NA,1,1
"MEXPPDMMINMEI",NA,NA,NA,NA
"LCEAMN01MXM661S",1,NA,NA,NA
"MEXLCEAMN01GPSAM",1,NA,1,1
"LCEAMN03MXM661S",1,NA,NA,NA
"HOHWMN03MXM661N",NA,NA,NA,NA
"PIEAFD02MXM661N",NA,NA,NA,NA
"PIEAMP02MXM659N",1,NA,1,1
"MEXPIEAFD02GPM",NA,NA,NA,NA
"MEXPIEAMP02GPM",NA,NA,NA,NA
"MEXPROMANMISMEI",NA,NA,NA,NA
"MEXPRMNTO01GPSAM",NA,NA,NA,NA
"LCEAMN04MXM661N",NA,NA,NA,NA
"MEXLOCOBPNOSTSAM",NA,NA,NA,NA
"MEXLOCOBPORSTSAM",1,NA,1,1
"MEXPROCONMISMEI",NA,NA,NA,NA
"MEXPRCNTO01GPSAM",NA,NA,NA,NA
"MEXPRENTO01IXOBSAM",NA,NA,NA,NA
"MEXPRINTO02IXOBSAM",NA,NA,NA,NA
"MEXPRMITO01IXOBSAM",NA,1,NA,NA
"MEXCPGRLH01IXOBM",NA,NA,NA,NA
"MEXCPGRSE01IXOBM",NA,NA,NA,NA
"LRHUTTTTMXM156S",1,NA,1,1
"MEXLOCOEMNOSTSAM",NA,NA,NA,NA
"MEXLOCOEMORSTM",NA,NA,NA,NA
"NBMXBIS",NA,NA,NA,NA
"EXMXUS",NA,NA,NA,NA
"CCUSMA02MXM661N",NA,NA,NA,NA
"RBMXBIS",NA,NA,NA,NA
"CCRETT01MXM661N",NA,NA,NA,NA
"RNMXBIS",NA,NA,NA,NA
"CCUSSP01MXM650N",NA,NA,NA,NA
"CPGRLE01MXM657N",NA,NA,NA,NA
"IR3TIB01MXM156N",NA,1,NA,NA
"IR3TTS01MXM156N",NA,1,NA,NA
"IRSTCI01MXM156N",NA,1,NA,NA
"INTGSTMXM193N",NA,1,NA,NA
"IRLTST01MXM156N",NA,1,NA,NA
"TRESEGMXM052N",NA,NA,NA,NA
"XTEXVA01MXM657S",NA,NA,NA,NA
"MEXXTEXVA01NCMLM",NA,NA,NA,NA
"EXPMX",NA,NA,NA,NA
"XTIMVA01MXM657S",NA,NA,NA,NA
"MEXXTIMVA01NCMLM",NA,NA,NA,NA
"MAUISA",NA,NA,NA,NA
"IMPMX",NA,NA,NA,NA
"MXX",NA,NA,NA,NA
