"","1r","2r","3r","4r"
"NGDPRSAXDCMXQ","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCURT02MXM160S",NA,"Estacionario",NA,NA
"BSCICP02MXM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP03MXM665S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSFGLV02MXM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSPRTE02MXM460S",NA,"Estacionario",NA,NA
"MEXPPDMMINMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"LCEAMN01MXM661S",NA,"Estacionario","Estacionario","Estacionario"
"MEXLCEAMN01GPSAM",NA,"Estacionario",NA,NA
"LCEAMN03MXM661S",NA,"Estacionario","Estacionario","Estacionario"
"HOHWMN03MXM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAFD02MXM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAMP02MXM659N",NA,"Estacionario",NA,NA
"MEXPIEAFD02GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"MEXPIEAMP02GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"MEXPROMANMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"MEXPRMNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"LCEAMN04MXM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"MEXLOCOBPNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"MEXLOCOBPORSTSAM",NA,"Estacionario",NA,NA
"MEXPROCONMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"MEXPRCNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"MEXPRENTO01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"MEXPRINTO02IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"MEXPRMITO01IXOBSAM","Estacionario",NA,"Estacionario","Estacionario"
"MEXCPGRLH01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"MEXCPGRSE01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"LRHUTTTTMXM156S",NA,"Estacionario",NA,NA
"MEXLOCOEMNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"MEXLOCOEMORSTM","Estacionario","Estacionario","Estacionario","Estacionario"
"NBMXBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"EXMXUS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSMA02MXM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RBMXBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCRETT01MXM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RNMXBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSSP01MXM650N","Estacionario","Estacionario","Estacionario","Estacionario"
"CPGRLE01MXM657N","Estacionario","Estacionario","Estacionario","Estacionario"
"IR3TIB01MXM156N","Estacionario",NA,"Estacionario","Estacionario"
"IR3TTS01MXM156N","Estacionario",NA,"Estacionario","Estacionario"
"IRSTCI01MXM156N","Estacionario",NA,"Estacionario","Estacionario"
"INTGSTMXM193N","Estacionario",NA,"Estacionario","Estacionario"
"IRLTST01MXM156N","Estacionario",NA,"Estacionario","Estacionario"
"TRESEGMXM052N","Estacionario","Estacionario","Estacionario","Estacionario"
"XTEXVA01MXM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"MEXXTEXVA01NCMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"EXPMX","Estacionario","Estacionario","Estacionario","Estacionario"
"XTIMVA01MXM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"MEXXTIMVA01NCMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"MAUISA","Estacionario","Estacionario","Estacionario","Estacionario"
"IMPMX","Estacionario","Estacionario","Estacionario","Estacionario"
"MXX","Estacionario","Estacionario","Estacionario","Estacionario"
