"","1r","2r","3r","4r"
"NGDPRSAXDCMXQ",0.01,0.01,0.01,0.01
"BSCURT02MXM160S",0.01,0.01,0.0844698368434632,0.01
"BSCICP02MXM460S",0.01,0.01,0.01,0.01
"BSCICP03MXM665S",0.01,0.01,0.01,0.01
"BSFGLV02MXM460S",0.01,0.01,0.01,0.01
"BSPRTE02MXM460S",0.01,0.01,0.129707696961803,0.01
"MEXPPDMMINMEI",0.01,0.01,0.01,0.01
"LCEAMN01MXM661S",0.01,0.01,0.0485671590653266,0.112406996000908
"MEXLCEAMN01GPSAM",0.01,0.01,0.266140464580165,0.01
"LCEAMN03MXM661S",0.01,0.01,0.0485671590653266,0.112406996000908
"HOHWMN03MXM661N",0.0106843359111887,0.0106843359111887,0.0119707414551878,0.0119093826162333
"PIEAFD02MXM661N",0.01,0.01,0.01,0.01
"PIEAMP02MXM659N",0.01,0.01,0.104408188412296,0.01
"MEXPIEAFD02GPM",0.01,0.01,0.01,0.01
"MEXPIEAMP02GPM",0.01,0.01,0.01,0.01
"MEXPROMANMISMEI",0.01,0.01,0.01,0.01
"MEXPRMNTO01GPSAM",0.01,0.01,0.01,0.01
"LCEAMN04MXM661N",0.01,0.01,0.01,0.01
"MEXLOCOBPNOSTSAM",0.01,0.01,0.01,0.01
"MEXLOCOBPORSTSAM",0.01,0.01,0.129707696961803,0.01
"MEXPROCONMISMEI",0.01,0.01,0.01,0.01
"MEXPRCNTO01GPSAM",0.0160523446537804,0.0160523446537804,0.0202994978226538,0.0215216004028386
"MEXPRENTO01IXOBSAM",0.01,0.01,0.0148203277640691,0.0208297400673918
"MEXPRINTO02IXOBSAM",0.01,0.01,0.01,0.01
"MEXPRMITO01IXOBSAM",0.01,0.0875898888704869,0.01,0.289373446929265
"MEXCPGRLH01IXOBM",0.01,0.01,0.01,0.01
"MEXCPGRSE01IXOBM",0.01,0.01,0.01,0.01
"LRHUTTTTMXM156S",0.01,0.01,0.660439331748802,0.0114741356960525
"MEXLOCOEMNOSTSAM",0.01,0.01,0.01,0.01
"MEXLOCOEMORSTM",0.01,0.01,0.01,0.01
"NBMXBIS",0.01,0.01,0.01,0.01
"EXMXUS",0.01,0.01,0.01,0.01
"CCUSMA02MXM661N",0.01,0.01,0.01,0.01
"RBMXBIS",0.01,0.01,0.01,0.01
"CCRETT01MXM661N",0.01,0.01,0.01,0.01
"RNMXBIS",0.012549272011109,0.012549272011109,0.0135018579993553,0.0142772053363447
"CCUSSP01MXM650N",0.01,0.01,0.01,0.01
"CPGRLE01MXM657N",0.0335474833443204,0.0335474833443204,0.0144970046423111,0.0115478504612425
"IR3TIB01MXM156N",0.01,0.211117761321086,0.01,0.218825484504931
"IR3TTS01MXM156N",0.01,0.168764640339019,0.01,0.245932413106794
"IRSTCI01MXM156N",0.01,0.100817979384748,0.01,0.264770695481133
"INTGSTMXM193N",0.01,0.242127949937414,0.01,0.308343393012639
"IRLTST01MXM156N",0.0186715602144736,0.380792815010772,0.0196373142353453,0.299746079400069
"TRESEGMXM052N",0.0143407916415707,0.0143407916415707,0.0154870579930854,0.0167873760612024
"XTEXVA01MXM657S",0.01,0.01,0.01,0.01
"MEXXTEXVA01NCMLM",0.01,0.01,0.01,0.01
"EXPMX",0.01,0.01,0.01,0.01
"XTIMVA01MXM657S",0.0277347120925337,0.0277347120925337,0.0261675997991776,0.0213291611972407
"MEXXTIMVA01NCMLM",0.01,0.01,0.01,0.01
"MAUISA",0.01,0.01,0.01,0.01
"IMPMX",0.01,0.01,0.01,0.01
"MXX",0.01,0.01,0.01,0.0200282752077388
