"","1r","2r","3r","4r"
"CPMNACSCAB1GQNL",NA,NA,NA,NA
"NLDBRODFT02STSAM",NA,NA,NA,NA
"BCEMFT02NLM460S",1,1,NA,NA
"BSEMFT02NLM460S",NA,NA,NA,NA
"BVEMFT02NLM460S",1,NA,1,1
"BVEMTE02NLM460S",1,NA,1,1
"CP0410NLM086NEST",NA,NA,NA,NA
"CP0500NLM086NEST",NA,NA,NA,NA
"CP0400NLM086NEST",NA,NA,1,1
"CP1252NLM086NEST",NA,NA,NA,NA
"CP0430NLM086NEST",NA,NA,NA,NA
"CP0431NLM086NEST",1,NA,1,1
"CP0444NLM086NEST",NA,NA,NA,NA
"X00XHOUNLM086NEST",NA,NA,NA,NA
"CP0432NLM086NEST",1,NA,1,1
"SERVHONLM086NEST",NA,1,NA,NA
"CP0550NLM086NEST",NA,NA,NA,NA
"CP0440NLM086NEST",NA,NA,NA,NA
"BSCICP02NLM460S",NA,NA,NA,NA
"BSCICP03NLM665S",NA,NA,NA,NA
"BSFGLV02NLM460S",NA,NA,NA,NA
"BSOBLV02NLM460S",1,NA,1,1
"BSPRFT02NLM460S",NA,NA,NA,NA
"BSPRTE02NLM460S",NA,NA,NA,NA
"BSSPFT02NLM460S",1,NA,1,1
"NLDPPDMMINMEI",1,NA,1,1
"LCEAMN01NLM661S",1,NA,NA,NA
"LCWRMN01NLM661S",1,NA,NA,NA
"NLDLCEAMN01GPSAM",1,NA,1,1
"PIEAFD02NLM661N",1,NA,1,1
"PIEAMP02NLM659N",1,NA,1,1
"NLDPIEAFD02GPM",1,NA,1,1
"NLDPIEAFD01GPM",1,NA,1,1
"NLDPIEAMP01GPM",NA,NA,NA,NA
"PIEAFD01NLM661N",1,NA,1,1
"PIEAMP01NLM661N",NA,NA,NA,NA
"NLDPROMANMISMEI",NA,NA,NA,NA
"NLDPRMNTO01GPSAM",NA,NA,NA,NA
"CP0611NLM086NEST",NA,NA,NA,NA
"NLDLOCOBPNOSTSAM",NA,NA,NA,NA
"NLDLOCOBPORSTSAM",NA,NA,NA,NA
"NLDPRINTO01GPSAM",NA,NA,NA,NA
"NLDPRMITO01IXOBM",NA,NA,NA,NA
"BVCICP02NLM460S",NA,NA,NA,NA
"BVDEFT02NLM460S",NA,NA,NA,NA
"BVDETE02NLM460S",NA,NA,NA,NA
"NLDCPHP1200GPM",NA,NA,NA,NA
"NLDCPHPSE01IXOBM",NA,NA,NA,NA
"NLDCP040400IXOBM",NA,NA,NA,NA
"NLDCP120000GPM",NA,NA,NA,NA
"NLDCPGRLH01IXOBM",NA,NA,NA,NA
"NLDCPGRSE01IXOBM",NA,NA,NA,NA
"CP1120NLM086NEST",1,NA,1,1
"CP0562NLM086NEST",NA,NA,NA,NA
"CP1260NLM086NEST",NA,NA,NA,NA
"CP0621NLM086NEST",NA,NA,NA,NA
"CP1200NLM086NEST",1,NA,1,1
"SERV00NLM086NEST",NA,NA,NA,NA
"SERVCONLM086NEST",NA,NA,NA,NA
"SERVRPNLM086NEST",NA,NA,NA,NA
"SERVTRNLM086NEST",NA,NA,NA,NA
"SERVMINLM086NEST",NA,NA,NA,NA
"CP0730NLM086NEST",NA,NA,NA,NA
"LRHUTTTTNLM156S",1,1,NA,NA
"LFHUTTTTNLM647S",1,NA,1,1
"LFHUTTFENLM647S",NA,NA,NA,NA
"LFHUTTMANLM647S",NA,NA,1,1
"NBNLBIS",NA,NA,NA,NA
"NNNLBIS",NA,NA,NA,NA
"CCUSMA02NLM661N",NA,NA,NA,NA
"RBNLBIS",1,NA,1,1
"CCRETT01NLM661N",NA,NA,NA,NA
"RNNLBIS",NA,NA,NA,NA
"CCUSSP01NLM650N",NA,NA,NA,NA
"CSINFT02NLM460S",1,NA,1,1
"NLDCPHPLA01IXOBM",NA,NA,NA,NA
"CPGRLE01NLM657N",NA,NA,NA,NA
"IR3TIB01NLM156N",1,NA,1,1
"IRSTCI01NLM156N",1,NA,1,1
"IRLTLT01NLM156N",1,NA,1,1
"BSXRLV02NLM086S",NA,NA,NA,NA
"XTEXVA01NLM657S",NA,NA,NA,NA
"NLDXTEXVA01CXMLM",NA,NA,NA,NA
"EXP4210",NA,NA,NA,NA
"XTIMVA01NLM657S",NA,NA,NA,NA
"NLDXTIMVA01CXMLM",1,NA,1,1
"IMP4210",NA,NA,NA,NA
"AEX",NA,NA,NA,NA
