"","1r","2r","3r","4r"
"CPMNACSCAB1GQNL","Estacionario","Estacionario","Estacionario","Estacionario"
"NLDBRODFT02STSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BCEMFT02NLM460S",NA,NA,"Estacionario","Estacionario"
"BSEMFT02NLM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BVEMFT02NLM460S",NA,"Estacionario",NA,NA
"BVEMTE02NLM460S",NA,"Estacionario",NA,NA
"CP0410NLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0500NLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0400NLM086NEST","Estacionario","Estacionario",NA,NA
"CP1252NLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0430NLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0431NLM086NEST",NA,"Estacionario",NA,NA
"CP0444NLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"X00XHOUNLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0432NLM086NEST",NA,"Estacionario",NA,NA
"SERVHONLM086NEST","Estacionario",NA,"Estacionario","Estacionario"
"CP0550NLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0440NLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP02NLM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP03NLM665S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSFGLV02NLM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSOBLV02NLM460S",NA,"Estacionario",NA,NA
"BSPRFT02NLM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSPRTE02NLM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSSPFT02NLM460S",NA,"Estacionario",NA,NA
"NLDPPDMMINMEI",NA,"Estacionario",NA,NA
"LCEAMN01NLM661S",NA,"Estacionario","Estacionario","Estacionario"
"LCWRMN01NLM661S",NA,"Estacionario","Estacionario","Estacionario"
"NLDLCEAMN01GPSAM",NA,"Estacionario",NA,NA
"PIEAFD02NLM661N",NA,"Estacionario",NA,NA
"PIEAMP02NLM659N",NA,"Estacionario",NA,NA
"NLDPIEAFD02GPM",NA,"Estacionario",NA,NA
"NLDPIEAFD01GPM",NA,"Estacionario",NA,NA
"NLDPIEAMP01GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAFD01NLM661N",NA,"Estacionario",NA,NA
"PIEAMP01NLM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"NLDPROMANMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"NLDPRMNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0611NLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"NLDLOCOBPNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"NLDLOCOBPORSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"NLDPRINTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"NLDPRMITO01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"BVCICP02NLM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BVDEFT02NLM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BVDETE02NLM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"NLDCPHP1200GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"NLDCPHPSE01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"NLDCP040400IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"NLDCP120000GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"NLDCPGRLH01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"NLDCPGRSE01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1120NLM086NEST",NA,"Estacionario",NA,NA
"CP0562NLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1260NLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0621NLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1200NLM086NEST",NA,"Estacionario",NA,NA
"SERV00NLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVCONLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVRPNLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVTRNLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVMINLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0730NLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"LRHUTTTTNLM156S",NA,NA,"Estacionario","Estacionario"
"LFHUTTTTNLM647S",NA,"Estacionario",NA,NA
"LFHUTTFENLM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LFHUTTMANLM647S","Estacionario","Estacionario",NA,NA
"NBNLBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"NNNLBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSMA02NLM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RBNLBIS",NA,"Estacionario",NA,NA
"CCRETT01NLM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RNNLBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSSP01NLM650N","Estacionario","Estacionario","Estacionario","Estacionario"
"CSINFT02NLM460S",NA,"Estacionario",NA,NA
"NLDCPHPLA01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"CPGRLE01NLM657N","Estacionario","Estacionario","Estacionario","Estacionario"
"IR3TIB01NLM156N",NA,"Estacionario",NA,NA
"IRSTCI01NLM156N",NA,"Estacionario",NA,NA
"IRLTLT01NLM156N",NA,"Estacionario",NA,NA
"BSXRLV02NLM086S","Estacionario","Estacionario","Estacionario","Estacionario"
"XTEXVA01NLM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"NLDXTEXVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"EXP4210","Estacionario","Estacionario","Estacionario","Estacionario"
"XTIMVA01NLM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"NLDXTIMVA01CXMLM",NA,"Estacionario",NA,NA
"IMP4210","Estacionario","Estacionario","Estacionario","Estacionario"
"AEX","Estacionario","Estacionario","Estacionario","Estacionario"
