"","1r","2r","3r","4r"
"CPMNACSCAB1GQNO",NA,NA,NA,NA
"CP0410NOM086NEST",NA,NA,NA,NA
"CP0400NOM086NEST",NA,NA,NA,NA
"CP1252NOM086NEST",NA,NA,NA,NA
"CP0430NOM086NEST",1,NA,1,1
"CP0431NOM086NEST",1,NA,1,1
"CP0444NOM086NEST",NA,NA,NA,NA
"X00XHOUNOM086NEST",1,NA,1,1
"CP0432NOM086NEST",NA,NA,NA,NA
"SERVHONOM086NEST",NA,NA,NA,NA
"CP0550NOM086NEST",1,NA,1,1
"CP0440NOM086NEST",NA,NA,NA,NA
"NORPERMITMISMEI",NA,NA,NA,NA
"BSCICP03NOM665S",NA,NA,NA,NA
"NORPPDMMINMEI",NA,NA,NA,NA
"PIEAFD02NOM661N",NA,NA,NA,NA
"PIEAMP02NOM659N",1,1,NA,NA
"NORPIEAFD02GPM",NA,NA,NA,NA
"NORPIEAFD01GPM",NA,NA,NA,NA
"NORPIEAMP02GPM",1,NA,1,1
"NORPIEAMP01GPM",1,NA,1,1
"PIEAFD01NOM661N",NA,NA,NA,NA
"PIEAMP01NOM661N",1,NA,1,1
"NORPROMANMISMEI",NA,NA,NA,NA
"NORPRMNIG01IXOBSAM",NA,NA,NA,NA
"NORPRMNVG01IXOBSAM",1,NA,1,1
"NORPRMNTO01GPSAM",NA,NA,NA,NA
"CP0611NOM086NEST",NA,NA,NA,NA
"NORLOCOBPNOSTSAM",NA,NA,NA,NA
"NORPREND401IXEBSAM",NA,NA,NA,NA
"NORPRINTO01GPSAM",NA,NA,NA,NA
"NORPRMITO01IXEBSAM",NA,NA,NA,NA
"NORCPHP1200GPM",NA,NA,NA,NA
"NORCPHPSE01IXOBM",NA,NA,NA,NA
"NORCP040400IXOBM",NA,NA,NA,NA
"NORCP120000GPM",NA,NA,NA,NA
"CP1120NOM086NEST",NA,NA,NA,NA
"CP0562NOM086NEST",NA,NA,NA,NA
"CP1200NOM086NEST",NA,NA,NA,NA
"SERV00NOM086NEST",NA,NA,NA,NA
"SERVCONOM086NEST",NA,NA,NA,NA
"SERVRPNOM086NEST",NA,NA,NA,NA
"SERVTRNOM086NEST",NA,NA,1,1
"CP0730NOM086NEST",NA,NA,NA,NA
"LRHUTTTTNOM156S",NA,NA,NA,NA
"LMUNRLTTNOM647S",NA,NA,NA,NA
"LMUNRRTTNOM156S",1,NA,1,1
"LFHUTTTTNOM647S",NA,NA,NA,NA
"LFHUTTFENOM647S",NA,NA,NA,NA
"LFHUTTMANOM647S",NA,NA,NA,NA
"NBNOBIS",NA,NA,NA,NA
"NNNOBIS",NA,NA,NA,NA
"CCUSMA02NOM661N",NA,NA,NA,NA
"EXNOUS",NA,NA,NA,NA
"RBNOBIS",NA,NA,NA,NA
"CCRETT01NOM661N",NA,NA,NA,NA
"RNNOBIS",1,NA,1,1
"CCUSSP01NOM650N",NA,NA,NA,NA
"NORCPHPLA01IXOBM",NA,NA,NA,NA
"CPGRLE01NOM657N",NA,NA,NA,NA
"IR3TIB01NOM156N",NA,NA,NA,NA
"IRSTCI01NOM156N",1,NA,1,1
"IRLTLT01NOM156N",1,1,NA,NA
"XTEXVA03NOM664S",1,NA,1,1
"XTEXVA01NOM657S",NA,NA,NA,NA
"NORXTEXVA01CXMLM",NA,NA,NA,NA
"NORLOCOTXNOSTSAM",NA,NA,NA,NA
"NORLOCOTXORCXMLM",NA,NA,NA,NA
"EXP4039",NA,NA,NA,NA
"XTIMVA03NOM664S",NA,NA,NA,NA
"XTIMVA01NOM657S",NA,NA,NA,NA
"NORXTIMVA01CXMLM",NA,NA,NA,NA
"IMP4039",NA,NA,NA,NA
