"","1r","2r","3r","4r"
"CPMNACSCAB1GQNO","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0410NOM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0400NOM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1252NOM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0430NOM086NEST",NA,"Estacionario",NA,NA
"CP0431NOM086NEST",NA,"Estacionario",NA,NA
"CP0444NOM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"X00XHOUNOM086NEST",NA,"Estacionario",NA,NA
"CP0432NOM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVHONOM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0550NOM086NEST",NA,"Estacionario",NA,NA
"CP0440NOM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"NORPERMITMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP03NOM665S","Estacionario","Estacionario","Estacionario","Estacionario"
"NORPPDMMINMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAFD02NOM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAMP02NOM659N",NA,NA,"Estacionario","Estacionario"
"NORPIEAFD02GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"NORPIEAFD01GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"NORPIEAMP02GPM",NA,"Estacionario",NA,NA
"NORPIEAMP01GPM",NA,"Estacionario",NA,NA
"PIEAFD01NOM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAMP01NOM661N",NA,"Estacionario",NA,NA
"NORPROMANMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"NORPRMNIG01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"NORPRMNVG01IXOBSAM",NA,"Estacionario",NA,NA
"NORPRMNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0611NOM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"NORLOCOBPNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"NORPREND401IXEBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"NORPRINTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"NORPRMITO01IXEBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"NORCPHP1200GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"NORCPHPSE01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"NORCP040400IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"NORCP120000GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1120NOM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0562NOM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1200NOM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERV00NOM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVCONOM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVRPNOM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVTRNOM086NEST","Estacionario","Estacionario",NA,NA
"CP0730NOM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"LRHUTTTTNOM156S","Estacionario","Estacionario","Estacionario","Estacionario"
"LMUNRLTTNOM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LMUNRRTTNOM156S",NA,"Estacionario",NA,NA
"LFHUTTTTNOM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LFHUTTFENOM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LFHUTTMANOM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"NBNOBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"NNNOBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSMA02NOM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"EXNOUS","Estacionario","Estacionario","Estacionario","Estacionario"
"RBNOBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCRETT01NOM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RNNOBIS",NA,"Estacionario",NA,NA
"CCUSSP01NOM650N","Estacionario","Estacionario","Estacionario","Estacionario"
"NORCPHPLA01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"CPGRLE01NOM657N","Estacionario","Estacionario","Estacionario","Estacionario"
"IR3TIB01NOM156N","Estacionario","Estacionario","Estacionario","Estacionario"
"IRSTCI01NOM156N",NA,"Estacionario",NA,NA
"IRLTLT01NOM156N",NA,NA,"Estacionario","Estacionario"
"XTEXVA03NOM664S",NA,"Estacionario",NA,NA
"XTEXVA01NOM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"NORXTEXVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"NORLOCOTXNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"NORLOCOTXORCXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"EXP4039","Estacionario","Estacionario","Estacionario","Estacionario"
"XTIMVA03NOM664S","Estacionario","Estacionario","Estacionario","Estacionario"
"XTIMVA01NOM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"NORXTIMVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"IMP4039","Estacionario","Estacionario","Estacionario","Estacionario"
