"","1r","2r","3r","4r"
"CPMNACSCAB1GQNO",0.0329338864755799,0.0329338864755799,0.0407535336179602,0.0436026932862354
"CP0410NOM086NEST",0.01,0.01,0.01,0.01
"CP0400NOM086NEST",0.01,0.01,0.01,0.01
"CP1252NOM086NEST",0.0411103698467237,0.0411103698467237,0.0425687489322619,0.0447857244158576
"CP0430NOM086NEST",0.01,0.01,0.110726804820852,0.01
"CP0431NOM086NEST",0.01,0.01,0.99,0.01
"CP0444NOM086NEST",0.01,0.01,0.01,0.01
"X00XHOUNOM086NEST",0.01,0.01,0.198776870793198,0.01
"CP0432NOM086NEST",0.01,0.01,0.01,0.01
"SERVHONOM086NEST",0.01,0.01,0.01,0.01
"CP0550NOM086NEST",0.01,0.01,0.0867321191454844,0.01
"CP0440NOM086NEST",0.01,0.01,0.01,0.01
"NORPERMITMISMEI",0.0190180659148432,0.0190180659148432,0.0207165836078512,0.0232744095519143
"BSCICP03NOM665S",0.0216550602924503,0.0216550602924503,0.0241678288052419,0.0270919632504808
"NORPPDMMINMEI",0.01,0.01,0.01,0.01
"PIEAFD02NOM661N",0.01,0.01,0.01,0.01
"PIEAMP02NOM659N",0.01,0.297357419982935,0.01,0.895617392391037
"NORPIEAFD02GPM",0.01,0.01,0.01,0.01
"NORPIEAFD01GPM",0.01,0.01,0.01,0.01
"NORPIEAMP02GPM",0.01,0.01,0.117423958424438,0.01
"NORPIEAMP01GPM",0.01,0.01,0.182584144587568,0.01
"PIEAFD01NOM661N",0.01,0.01,0.01,0.01
"PIEAMP01NOM661N",0.0400193483282558,0.01,0.949809241071041,0.01
"NORPROMANMISMEI",0.01,0.0400193483282558,0.028301631434033,0.0344617510638812
"NORPRMNIG01IXOBSAM",0.01,0.01,0.01,0.01
"NORPRMNVG01IXOBSAM",0.01,0.01,0.270956131550017,0.01
"NORPRMNTO01GPSAM",0.01,0.01,0.01,0.01
"CP0611NOM086NEST",0.01,0.01,0.01,0.01
"NORLOCOBPNOSTSAM",0.01,0.01,0.01,0.01
"NORPREND401IXEBSAM",0.01,0.01,0.01,0.01
"NORPRINTO01GPSAM",0.01,0.01,0.01,0.01
"NORPRMITO01IXEBSAM",0.01,0.01,0.01,0.01
"NORCPHP1200GPM",0.01,0.01,0.01,0.01
"NORCPHPSE01IXOBM",0.01,0.01,0.01,0.01
"NORCP040400IXOBM",0.01,0.01,0.01,0.01
"NORCP120000GPM",0.01,0.01,0.01,0.01
"CP1120NOM086NEST",0.01,0.01,0.01,0.01
"CP0562NOM086NEST",0.01,0.01,0.01,0.01
"CP1200NOM086NEST",0.01,0.01,0.01,0.0109347720111545
"SERV00NOM086NEST",0.0132805252365154,0.01,0.01,0.01
"SERVCONOM086NEST",0.0213096751189523,0.0132805252365154,0.015051366933374,0.0163001042455134
"SERVRPNOM086NEST",0.0494490319438953,0.0213096751189523,0.0212103753587653,0.0229374984796467
"SERVTRNOM086NEST",0.0129438369476385,0.0494490319438953,0.0528435573115068,0.01
"CP0730NOM086NEST",0.0287615157465183,0.0129438369476385,0.0138630383136926,0.014101656718986
"LRHUTTTTNOM156S",0.0180923784240885,0.0287615157465183,0.0336167336548403,0.0369884503559937
"LMUNRLTTNOM647S",0.0133764518652996,0.0180923784240885,0.0193144117144754,0.020468405996236
"LMUNRRTTNOM156S",0.0118199293536338,0.0133764518652996,0.0919282962641621,0.0159440427956247
"LFHUTTTTNOM647S",0.0128660053244139,0.0118199293536338,0.0134796622461428,0.0129371429414239
"LFHUTTFENOM647S",0.0143094116745957,0.0128660053244139,0.0109411094189755,0.01
"LFHUTTMANOM647S",0.01,0.0143094116745957,0.0140907150080047,0.0152805542932675
"NBNOBIS",0.01,0.01,0.01,0.01
"NNNOBIS",0.01,0.01,0.01,0.01
"CCUSMA02NOM661N",0.01,0.01,0.01,0.01
"EXNOUS",0.01,0.01,0.01,0.01
"RBNOBIS",0.01,0.01,0.01,0.01
"CCRETT01NOM661N",0.01,0.01,0.01,0.01
"RNNOBIS",0.01,0.01,0.091375981989867,0.01
"CCUSSP01NOM650N",0.01,0.01,0.01,0.01
"NORCPHPLA01IXOBM",0.01,0.01,0.01,0.01
"CPGRLE01NOM657N",0.0366748650964473,0.01,0.01,0.01
"IR3TIB01NOM156N",0.0333433164820735,0.0366748650964473,0.0385787992063462,0.0493782102468224
"IRSTCI01NOM156N",0.01,0.0333433164820735,0.220389526493583,0.0518235885455155
"IRLTLT01NOM156N",0.0457731056520969,0.0776232429702035,0.01,0.598664991159295
"XTEXVA03NOM664S",0.01,0.01,0.0811377729260475,0.01
"XTEXVA01NOM657S",0.01,0.0457731056520969,0.046972279167856,0.0488185658372365
"NORXTEXVA01CXMLM",0.01,0.01,0.01,0.01
"NORLOCOTXNOSTSAM",0.01,0.01,0.01,0.01
"NORLOCOTXORCXMLM",0.0195628846975194,0.01,0.01,0.01
"EXP4039",0.01,0.01,0.0150811289819006,0.0295698264420642
"XTIMVA03NOM664S",0.01,0.0195628846975194,0.0253969577621012,0.0240256194683679
"XTIMVA01NOM657S",0.01,0.01,0.01,0.01
"NORXTIMVA01CXMLM",0.01,0.01,0.01,0.01
"IMP4039",0.01,0.01,0.01,0.01
