"","1r","2r","3r","4r"
"CPMNACSCAB1GQPL",1,NA,1,1
"POLBRODFT02STSAM",1,NA,1,1
"BCEMFT02PLM460S",1,NA,1,1
"BSEMFT02PLM460S",1,NA,1,1
"CP0410PLM086NEST",1,NA,1,1
"CP0400PLM086NEST",NA,NA,NA,NA
"CP1252PLM086NEST",NA,NA,NA,NA
"CP0430PLM086NEST",NA,NA,NA,NA
"CP0444PLM086NEST",NA,NA,NA,NA
"X00XHOUPLM086NEST",NA,NA,NA,NA
"CP0432PLM086NEST",NA,NA,NA,NA
"SERVHOPLM086NEST",NA,NA,NA,NA
"CP0550PLM086NEST",NA,NA,NA,NA
"CP0440PLM086NEST",NA,NA,NA,NA
"BSCICP02PLM460S",1,NA,1,1
"BSCICP03PLM665S",NA,NA,NA,NA
"BSFGLV02PLM460S",NA,NA,NA,NA
"BSOBLV02PLM460S",1,NA,1,1
"BSPRFT02PLM460S",1,NA,1,1
"BSPRTE02PLM460S",NA,1,NA,NA
"BSSPFT02PLM460S",1,NA,1,1
"POLPPDMMINMEI",1,1,NA,NA
"LCEAMN01PLM661S",NA,NA,NA,NA
"POLLCEAMN01GPSAM",NA,NA,NA,NA
"LCEAMN03PLM661S",NA,NA,NA,NA
"PIEAMP02PLM659N",1,1,NA,NA
"POLPIEAMP01GPM",1,NA,1,1
"PIEAMP01PLM661N",1,NA,1,1
"POLPROMANMISMEI",NA,NA,NA,NA
"POLPRMNTO01GPSAM",NA,NA,NA,NA
"CP0611PLM086NEST",NA,NA,NA,NA
"POLLOCOBPNOSTSAM",NA,NA,NA,NA
"POLLOCOBPORSTSAM",NA,1,NA,NA
"POLLOCOPQNOSTSAM",NA,NA,NA,NA
"POLLOCOPQORMLSAM",NA,NA,NA,NA
"POLPROCONMISMEI",1,NA,1,1
"POLPRCNTO01GPSAM",NA,NA,NA,NA
"POLPRINTO01GPSAM",NA,NA,NA,NA
"POLPRMITO01IXOBSAM",NA,NA,NA,NA
"POLCPHP1200GPM",NA,NA,NA,NA
"POLCPHPSE01IXOBM",NA,NA,NA,NA
"CP1120PLM086NEST",NA,NA,1,1
"CP0562PLM086NEST",NA,NA,NA,NA
"CP1260PLM086NEST",NA,NA,NA,NA
"CP0621PLM086NEST",NA,NA,NA,NA
"CP1200PLM086NEST",NA,NA,NA,NA
"SERV00PLM086NEST",NA,NA,NA,NA
"SERVCOPLM086NEST",NA,NA,NA,NA
"SERVRPPLM086NEST",NA,NA,NA,NA
"SERVTRPLM086NEST",NA,NA,NA,NA
"SERVMIPLM086NEST",NA,NA,NA,NA
"CP0730PLM086NEST",1,1,NA,NA
"LRHUTTTTPLM156S",NA,NA,1,1
"POLLOCOEMNOSTSAM",NA,NA,NA,NA
"POLLOCOEMORSTSAM",NA,NA,NA,NA
"LMUNRLTTPLM647S",NA,NA,NA,NA
"LMUNRRTTPLM156S",1,1,NA,NA
"LFHUTTTTPLM647S",1,NA,1,1
"NBPLBIS",NA,NA,NA,NA
"CCUSMA02PLM661N",NA,NA,NA,NA
"RBPLBIS",NA,NA,NA,NA
"CCRETT01PLM661N",NA,NA,NA,NA
"CCUSSP01PLM650N",NA,NA,NA,NA
"POLCPHPLA01IXOBM",NA,NA,NA,NA
"CPGRLE01PLM657N",NA,NA,NA,NA
"IR3TIB01PLM156N",1,NA,NA,NA
"IRSTCI01PLM156N",1,NA,1,1
"IRSTCB01PLM156N",1,NA,1,1
"TRESEGPLM052N",1,NA,1,1
"BSXRLV02PLM086S",NA,NA,NA,NA
"XTEXVA01PLM657S",NA,NA,NA,NA
"POLXTEXVA01CXMLM",NA,NA,NA,NA
"EXP4550",NA,NA,NA,NA
"XTIMVA01PLM657S",NA,NA,NA,NA
"POLXTIMVA01CXMLM",NA,NA,NA,NA
"IMP4550",NA,NA,NA,NA
"poland_WIG20",NA,NA,NA,NA
